scenario_id,type,victim_city,cashout_city,terminal_account_city,delay_hours,ground_truth_location,ground_truth_time,prediction_cutoff,n_victims,n_hops,hop_cities
SCN54F032F5,D,Surat,Mumbai,Mumbai,,M04,2026-09-06T04:09:12.400017,2026-09-05T23:54:14.982700,,2.0,"['Pune', 'Mumbai']"
SCNB68A9047,E,Hyderabad,Mumbai,Mumbai,8.716095075326393,M01,2026-09-06T10:49:05.896904,2026-09-06T02:39:07.954633,,,
SCN4B4B79CC,F,Delhi,,,,,,2026-09-06T13:38:55.769732,,,
SCNB38640F6,B,Surat,Delhi,Delhi,,D01,2026-09-06T22:54:15.404744,2026-09-06T18:21:17.062579,5.0,,
SCN8A5E36BA,H,Hyderabad,Delhi,Delhi,,D02,2026-09-06T11:25:34.111992,2026-09-06T10:51:06.480161,,,
SCNC2EF5193,C,Ahmedabad,Mumbai,Mumbai,,M06,2026-09-06T14:12:43.186462,2026-09-06T12:57:58.447527,,3.0,"['Surat', 'Vadodara', 'Mumbai']"
SCN553FBA34,H,Hyderabad,Delhi,Delhi,,D03,2026-09-06T23:11:08.815247,2026-09-06T21:33:53.290980,,,
SCNDFAD7C85,A,Mumbai,Pune,Pune,,P04,2026-09-06T16:05:05.231360,2026-09-06T14:12:12.466039,,,
SCN956F282A,A,Pune,Bengaluru,Bengaluru,,B02,2026-09-07T15:24:52.546301,2026-09-07T13:26:45.104527,,,
SCN3EE48FDB,C,Ahmedabad,Mumbai,Mumbai,,M04,2026-09-07T08:21:03.289343,2026-09-07T04:23:37.997162,,3.0,"['Delhi', 'Surat', 'Mumbai']"
SCNA23AB12D,A,Vadodara,Mumbai,Mumbai,,M04,2026-09-07T20:05:16.585516,2026-09-07T18:48:00.345767,,,
SCNA355327D,F,Vadodara,,,,,,2026-09-07T03:59:52.947320,,,
SCNF657CA10,C,Ahmedabad,Mumbai,Mumbai,,M07,2026-09-07T21:47:28.021243,2026-09-07T17:57:26.793089,,3.0,"['Vadodara', 'Delhi', 'Mumbai']"
SCN5515DBD8,F,Pune,,,,,,2026-09-07T21:00:15.015643,,,
SCN86B8A3F4,H,Pune,Hyderabad,Hyderabad,,H01,2026-09-07T13:34:38.021797,2026-09-07T13:17:35.454663,,,
SCNA0002A03,D,Ahmedabad,Mumbai,Mumbai,,M02,2026-09-08T05:59:18.743642,2026-09-08T03:24:32.927685,,2.0,"['Surat', 'Mumbai']"
SCN1BD4D4C8,A,Hyderabad,Vadodara,Vadodara,,V02,2026-09-07T23:10:16.267341,2026-09-07T21:47:25.274926,,,
SCN6917C1D3,H,Pune,Ahmedabad,Ahmedabad,,A04,2026-09-08T05:34:40.901252,2026-09-08T04:41:18.916653,,,
SCNEAE4F55C,H,Pune,Mumbai,Mumbai,,M03,2026-09-08T06:23:24.000512,2026-09-08T05:30:00.490393,,,
SCND9BDEBC5,F,Vadodara,,,,,,2026-09-08T05:04:31.090268,,,
SCN72B77C31,D,Vadodara,Pune,Pune,,P03,2026-09-08T14:24:51.846180,2026-09-08T12:10:23.463450,,2.0,"['Hyderabad', 'Pune']"
SCNA3D249AB,F,Mumbai,,,,,,2026-09-08T18:37:24.633796,,,
SCN20E689EE,F,Surat,,,,,,2026-09-08T17:45:52.342784,,,
SCN52AC93CB,H,Pune,Mumbai,Mumbai,,M03,2026-09-08T21:02:58.387463,2026-09-08T19:48:40.684833,,,
SCNBB2F8BDD,C,Ahmedabad,Mumbai,Mumbai,,M04,2026-09-09T08:56:05.722088,2026-09-09T06:27:46.629270,,3.0,"['Surat', 'Hyderabad', 'Mumbai']"
SCN69CB2441,C,Ahmedabad,Mumbai,Mumbai,,M05,2026-09-09T18:51:26.885935,2026-09-09T16:42:02.488094,,3.0,"['Surat', 'Bengaluru', 'Mumbai']"
SCN80E418A1,D,Ahmedabad,Pune,Pune,,P02,2026-09-09T19:32:46.587169,2026-09-09T18:27:10.092635,,2.0,"['Mumbai', 'Pune']"
SCN62EB991D,F,Hyderabad,,,,,,2026-09-09T16:39:00.619619,,,
SCN3E47A740,C,Ahmedabad,Mumbai,Mumbai,,M05,2026-09-09T16:53:44.546095,2026-09-09T13:24:35.753991,,2.0,"['Hyderabad', 'Mumbai']"
SCN129ECE9E,B,Hyderabad,Mumbai,Mumbai,,M02,2026-09-10T06:58:16.059834,2026-09-10T04:15:13.014681,5.0,,
SCN3DB7FAAC,B,Ahmedabad,Vadodara,Vadodara,,V03,2026-09-09T17:57:43.263213,2026-09-09T15:32:16.928546,3.0,,
SCN35E3BFEB,H,Vadodara,Delhi,Delhi,,D04,2026-09-09T16:47:51.629444,2026-09-09T15:21:31.961545,,,
SCN0E3D0C6B,C,Ahmedabad,Mumbai,Mumbai,,M01,2026-09-10T05:55:46.939594,2026-09-10T02:46:13.253809,,3.0,"['Vadodara', 'Delhi', 'Mumbai']"
SCN59658012,D,Ahmedabad,Pune,Pune,,P03,2026-09-10T08:47:35.894407,2026-09-10T06:51:01.867538,,2.0,"['Surat', 'Pune']"
SCN99516084,A,Surat,Bengaluru,Bengaluru,,B01,2026-09-10T13:20:59.999819,2026-09-10T11:21:46.416154,,,
SCNCFCC0F59,D,Surat,Pune,Pune,,P03,2026-09-10T18:42:25.843095,2026-09-10T16:53:41.310559,,2.0,"['Mumbai', 'Pune']"
SCN0960908C,F,Hyderabad,,,,,,2026-09-10T10:56:37.092000,,,
SCNF9920FA3,B,Bengaluru,Delhi,Delhi,,D01,2026-09-10T18:24:28.943369,2026-09-10T15:22:12.301624,4.0,,
SCN861DF698,C,Ahmedabad,Mumbai,Mumbai,,M04,2026-09-11T05:01:48.019206,2026-09-10T22:33:17.075614,,3.0,"['Hyderabad', 'Bengaluru', 'Mumbai']"
SCNE3CAC2B3,D,Surat,Mumbai,Mumbai,,M06,2026-09-11T00:22:38.511446,2026-09-10T22:19:05.657432,,2.0,"['Pune', 'Mumbai']"
SCNDCC271C9,B,Bengaluru,Surat,Surat,,S03,2026-09-11T04:08:38.276682,2026-09-11T00:57:12.766768,5.0,,
SCN5F06420A,E,Surat,Bengaluru,Bengaluru,17.631148665194274,B04,2026-09-12T08:19:38.303847,2026-09-11T14:43:46.168652,,,
SCN8F547E26,F,Surat,,,,,,2026-09-11T05:34:29.183079,,,
SCN7063EF34,C,Ahmedabad,Mumbai,Mumbai,,M05,2026-09-11T13:07:52.696906,2026-09-11T09:10:55.354191,,3.0,"['Bengaluru', 'Vadodara', 'Mumbai']"
SCN0293F9EC,C,Ahmedabad,Mumbai,Mumbai,,M05,2026-09-11T17:17:41.782295,2026-09-11T11:56:12.332952,,3.0,"['Vadodara', 'Surat', 'Mumbai']"
SCN92D977E7,C,Ahmedabad,Mumbai,Mumbai,,M06,2026-09-11T23:00:39.356177,2026-09-11T21:46:15.891534,,3.0,"['Delhi', 'Hyderabad', 'Mumbai']"
SCN68460353,B,Bengaluru,Pune,Pune,,P04,2026-09-11T23:27:46.979525,2026-09-11T19:39:29.804273,5.0,,
SCNDC781FE3,E,Bengaluru,Delhi,Delhi,10.331896530926459,D02,2026-09-12T14:12:21.293640,2026-09-12T04:24:26.466129,,,
SCN9C28AF8F,C,Ahmedabad,Mumbai,Mumbai,,M07,2026-09-12T11:33:25.130525,2026-09-12T05:35:25.565381,,3.0,"['Surat', 'Pune', 'Mumbai']"
SCN722D256F,E,Ahmedabad,Mumbai,Mumbai,10.996544734035432,M06,2026-09-12T16:12:50.777489,2026-09-12T05:15:03.216446,,,
SCND817CB83,C,Ahmedabad,Mumbai,Mumbai,,M07,2026-09-12T04:18:35.188954,2026-09-12T00:55:56.752850,,3.0,"['Surat', 'Pune', 'Mumbai']"
SCN4EDDFAC8,A,Delhi,Mumbai,Mumbai,,M04,2026-09-12T07:58:08.776082,2026-09-12T06:46:01.861345,,,
SCN87D16BA2,A,Mumbai,Surat,Surat,,S01,2026-09-12T13:39:19.147446,2026-09-12T11:21:21.558525,,,
SCNC9BB24CD,A,Mumbai,Bengaluru,Bengaluru,,B02,2026-09-12T17:55:50.520485,2026-09-12T16:35:49.009793,,,
SCN705D93D1,C,Ahmedabad,Mumbai,Mumbai,,M03,2026-09-13T02:28:48.951959,2026-09-12T23:08:11.094813,,3.0,"['Vadodara', 'Delhi', 'Mumbai']"
SCNEC60C886,C,Ahmedabad,Mumbai,Mumbai,,M02,2026-09-13T10:13:20.918599,2026-09-13T06:09:48.455358,,2.0,"['Vadodara', 'Mumbai']"
SCN32E7C87A,B,Vadodara,Mumbai,Mumbai,,M02,2026-09-13T02:15:25.876979,2026-09-12T23:05:29.270562,4.0,,
SCN7423D3B8,B,Bengaluru,Ahmedabad,Ahmedabad,,A02,2026-09-13T05:22:14.886346,2026-09-13T02:51:28.728773,4.0,,
SCN87651F2A,B,Hyderabad,Mumbai,Mumbai,,M06,2026-09-13T17:52:32.384322,2026-09-13T14:41:09.271191,3.0,,
SCN581CF1DB,B,Ahmedabad,Surat,Surat,,S03,2026-09-13T19:45:34.189116,2026-09-13T15:47:52.916074,4.0,,
SCN9A66AF58,C,Ahmedabad,Mumbai,Mumbai,,M05,2026-09-13T13:40:57.873887,2026-09-13T07:57:34.634211,,3.0,"['Hyderabad', 'Bengaluru', 'Mumbai']"
SCNC490C64E,E,Delhi,Vadodara,Vadodara,15.01666089654181,V02,2026-09-14T03:33:03.665757,2026-09-13T12:38:03.686529,,,
SCN9D2E3AD2,H,Mumbai,Pune,Pune,,P03,2026-09-14T03:40:35.233925,2026-09-14T02:31:51.745361,,,
SCN41AD4141,E,Bengaluru,Surat,Surat,14.20022132163771,S01,2026-09-14T14:36:46.732979,2026-09-14T00:41:45.936221,,,
SCN175B8C0F,B,Bengaluru,Mumbai,Mumbai,,M06,2026-09-14T09:57:45.477700,2026-09-14T06:54:11.363668,4.0,,
SCNDDBFD801,A,Bengaluru,Ahmedabad,Ahmedabad,,A05,2026-09-14T18:24:09.218628,2026-09-14T16:49:38.487613,,,
SCN333DA88D,C,Ahmedabad,Mumbai,Mumbai,,M03,2026-09-14T12:40:33.342558,2026-09-14T08:27:18.374720,,3.0,"['Delhi', 'Pune', 'Mumbai']"
SCN99C050D3,H,Vadodara,Delhi,Delhi,,D03,2026-09-14T09:54:53.869179,2026-09-14T09:07:59.716593,,,
SCN10F67046,F,Vadodara,,,,,,2026-09-14T13:26:00.813530,,,
SCN67319F7F,F,Mumbai,,,,,,2026-09-14T09:36:42.186925,,,
SCN3F5885A3,B,Ahmedabad,Pune,Pune,,P01,2026-09-14T23:48:00.011522,2026-09-14T21:00:16.343857,5.0,,
SCNBC37FFA2,B,Hyderabad,Delhi,Delhi,,D02,2026-09-15T06:05:27.139837,2026-09-15T04:07:37.498550,3.0,,
SCNC20E1CA7,H,Vadodara,Hyderabad,Hyderabad,,H02,2026-09-15T09:12:11.243174,2026-09-15T08:44:40.611525,,,
SCNC88F731A,E,Bengaluru,Vadodara,Vadodara,12.696818014380835,V03,2026-09-15T10:03:10.679475,2026-09-14T21:35:22.134623,,,
SCN47DCA796,C,Ahmedabad,Mumbai,Mumbai,,M05,2026-09-15T18:58:58.090443,2026-09-15T15:51:58.172415,,3.0,"['Pune', 'Delhi', 'Mumbai']"
SCN4DCD6C15,B,Delhi,Pune,Pune,,P01,2026-09-15T15:50:46.829017,2026-09-15T13:42:54.806245,5.0,,
SCN76318FDE,A,Bengaluru,Ahmedabad,Ahmedabad,,A05,2026-09-15T13:52:42.123684,2026-09-15T11:57:46.299777,,,
SCN00CDF8BC,B,Delhi,Bengaluru,Bengaluru,,B01,2026-09-16T05:02:56.152178,2026-09-16T02:22:54.803629,5.0,,
SCNC9C5B7CD,A,Surat,Mumbai,Mumbai,,M01,2026-09-15T20:19:15.498948,2026-09-15T19:14:22.201053,,,
SCNC2513A9D,C,Ahmedabad,Mumbai,Mumbai,,M06,2026-09-16T00:18:07.009781,2026-09-15T18:11:49.803767,,3.0,"['Bengaluru', 'Vadodara', 'Mumbai']"
SCN9557D7FC,B,Bengaluru,Hyderabad,Hyderabad,,H01,2026-09-16T00:46:02.590065,2026-09-15T20:11:47.960404,5.0,,
SCN8BBFB558,F,Ahmedabad,,,,,,2026-09-15T23:11:32.721552,,,
SCN638AF3AD,F,Pune,,,,,,2026-09-16T01:52:22.977253,,,
SCN24635CF3,E,Delhi,Vadodara,Vadodara,12.75459604203041,V03,2026-09-16T17:27:50.092014,2026-09-16T05:16:33.546263,,,
SCNF8AA36B5,F,Delhi,,,,,,2026-09-16T06:39:23.655918,,,
SCNAA9D8B45,B,Pune,Surat,Surat,,S03,2026-09-16T19:46:03.199090,2026-09-16T16:13:35.705353,5.0,,
SCN1CD45703,C,Ahmedabad,Mumbai,Mumbai,,M07,2026-09-16T16:54:28.910941,2026-09-16T13:02:58.981503,,3.0,"['Delhi', 'Pune', 'Mumbai']"
SCN82CE9E1A,C,Ahmedabad,Mumbai,Mumbai,,M05,2026-09-17T03:07:45.568861,2026-09-16T22:14:45.920638,,3.0,"['Hyderabad', 'Delhi', 'Mumbai']"
SCN9D57ED09,E,Bengaluru,Hyderabad,Hyderabad,13.673420852964991,H02,2026-09-17T19:52:20.972682,2026-09-17T06:17:56.657611,,,
SCN24EC537A,C,Ahmedabad,Mumbai,Mumbai,,M05,2026-09-17T10:42:27.411558,2026-09-17T06:41:37.873900,,3.0,"['Delhi', 'Pune', 'Mumbai']"
SCNA7D81162,C,Ahmedabad,Mumbai,Mumbai,,M06,2026-09-17T11:43:50.094886,2026-09-17T05:53:36.213369,,3.0,"['Surat', 'Delhi', 'Mumbai']"
SCNDF0A6602,B,Pune,Mumbai,Mumbai,,M06,2026-09-17T23:15:42.165820,2026-09-17T20:29:06.678151,4.0,,
SCN0E606D5D,A,Pune,Vadodara,Vadodara,,V03,2026-09-17T21:06:17.552451,2026-09-17T19:38:38.830072,,,
SCND1BC99B0,C,Ahmedabad,Mumbai,Mumbai,,M01,2026-09-18T05:09:05.994442,2026-09-17T23:21:04.056270,,3.0,"['Pune', 'Surat', 'Mumbai']"
SCN54D31427,C,Ahmedabad,Mumbai,Mumbai,,M07,2026-09-18T13:24:37.899546,2026-09-18T07:10:24.728843,,3.0,"['Surat', 'Pune', 'Mumbai']"
SCN4B0292E8,C,Ahmedabad,Mumbai,Mumbai,,M06,2026-09-17T22:27:28.974030,2026-09-17T17:35:19.794482,,3.0,"['Bengaluru', 'Vadodara', 'Mumbai']"
SCN9C96A75D,A,Bengaluru,Hyderabad,Hyderabad,,H01,2026-09-18T06:29:32.685931,2026-09-18T04:43:35.762201,,,
SCN94C008F4,B,Bengaluru,Vadodara,Vadodara,,V01,2026-09-18T12:39:43.838063,2026-09-18T09:47:30.215459,4.0,,
SCN95BA0E96,H,Pune,Mumbai,Mumbai,,M01,2026-09-18T05:44:47.491828,2026-09-18T04:50:24.467730,,,
SCNC0E9F3EC,C,Ahmedabad,Mumbai,Mumbai,,M05,2026-09-18T09:13:43.503408,2026-09-18T05:53:42.516036,,3.0,"['Hyderabad', 'Delhi', 'Mumbai']"
SCNB059913A,H,Ahmedabad,Bengaluru,Bengaluru,,B02,2026-09-18T15:14:39.513505,2026-09-18T14:17:25.714908,,,
SCND879800F,A,Hyderabad,Ahmedabad,Ahmedabad,,A05,2026-09-18T11:00:49.770220,2026-09-18T09:13:22.296491,,,
SCNB2F0E0C8,E,Vadodara,Ahmedabad,Ahmedabad,13.786351545810556,A04,2026-09-19T08:34:37.660124,2026-09-18T18:51:26.794559,,,
SCN24BC08EF,B,Pune,Bengaluru,Bengaluru,,B04,2026-09-19T08:13:00.747380,2026-09-19T06:08:44.891023,5.0,,
SCNE8C8E3DB,C,Ahmedabad,Mumbai,Mumbai,,M07,2026-09-19T07:22:02.520505,2026-09-19T01:54:32.484962,,2.0,"['Vadodara', 'Mumbai']"
SCN73F580F8,A,Ahmedabad,Bengaluru,Bengaluru,,B03,2026-09-19T10:33:13.047307,2026-09-19T08:27:25.779168,,,
SCNC7F6BB66,E,Hyderabad,Mumbai,Mumbai,12.739968855886566,M06,2026-09-19T23:46:32.181399,2026-09-19T11:04:08.293518,,,
SCNF980401E,B,Pune,Bengaluru,Bengaluru,,B03,2026-09-19T18:49:04.476430,2026-09-19T17:18:50.108219,3.0,,
SCNF7B5F035,B,Ahmedabad,Pune,Pune,,P01,2026-09-20T03:40:04.825552,2026-09-20T02:11:26.620317,4.0,,
SCN96BEA6BD,B,Mumbai,Hyderabad,Hyderabad,,H02,2026-09-19T15:57:35.787667,2026-09-19T13:00:48.441202,3.0,,
SCNFBFE9EAF,H,Ahmedabad,Pune,Pune,,P02,2026-09-20T05:43:23.818167,2026-09-20T04:38:00.592307,,,
SCN0DBF958B,B,Ahmedabad,Bengaluru,Bengaluru,,B02,2026-09-20T09:29:00.853834,2026-09-20T08:13:31.907108,5.0,,
SCN97A8BCD9,B,Pune,Vadodara,Vadodara,,V03,2026-09-20T07:42:01.668120,2026-09-20T03:44:44.752001,3.0,,
SCN7BB7DA0B,A,Hyderabad,Ahmedabad,Ahmedabad,,A02,2026-09-20T10:34:15.005677,2026-09-20T07:54:23.593596,,,
SCN8C7C57C7,B,Mumbai,Bengaluru,Bengaluru,,B03,2026-09-21T00:05:04.082539,2026-09-20T21:56:21.769154,5.0,,
SCNA6C24667,C,Ahmedabad,Mumbai,Mumbai,,M06,2026-09-20T07:03:33.764540,2026-09-20T03:43:20.426003,,3.0,"['Delhi', 'Hyderabad', 'Mumbai']"
SCNDAD5C466,A,Delhi,Pune,Pune,,P01,2026-09-20T15:01:22.734465,2026-09-20T13:45:38.714264,,,
SCN0D72EFA3,F,Delhi,,,,,,2026-09-20T10:05:13.877224,,,
SCN91CD6D34,C,Ahmedabad,Mumbai,Mumbai,,M04,2026-09-20T15:28:00.697211,2026-09-20T13:40:22.108055,,2.0,"['Surat', 'Mumbai']"
SCNB0AABF19,D,Ahmedabad,Mumbai,Mumbai,,M02,2026-09-21T04:20:31.874260,2026-09-21T01:49:02.237857,,2.0,"['Hyderabad', 'Mumbai']"
SCNB47B954B,F,Pune,,,,,,2026-09-21T01:39:09.535725,,,
SCNB60149A8,D,Vadodara,Pune,Pune,,P01,2026-09-21T14:05:58.588491,2026-09-21T10:18:02.855974,,2.0,"['Mumbai', 'Pune']"
SCN55CF4A56,E,Ahmedabad,Hyderabad,Hyderabad,17.65128237812212,H03,2026-09-22T09:58:17.677262,2026-09-21T16:47:13.060701,,,
SCN6CE08EB8,C,Ahmedabad,Mumbai,Mumbai,,M01,2026-09-21T07:33:44.518036,2026-09-21T03:55:19.164155,,3.0,"['Delhi', 'Vadodara', 'Mumbai']"
SCND9728521,A,Pune,Bengaluru,Bengaluru,,B02,2026-09-21T20:53:48.021105,2026-09-21T18:29:55.921975,,,
SCN43F4E51B,D,Ahmedabad,Pune,Pune,,P02,2026-09-21T17:34:41.610519,2026-09-21T15:12:49.231827,,2.0,"['Mumbai', 'Pune']"
SCN768E461E,F,Hyderabad,,,,,,2026-09-22T00:47:33.418128,,,
SCN38ABC373,E,Bengaluru,Ahmedabad,Ahmedabad,9.905847585069063,A03,2026-09-22T08:15:58.263960,2026-09-21T22:11:37.212654,,,
SCN732581A5,B,Bengaluru,Surat,Surat,,S03,2026-09-22T17:57:37.353932,2026-09-22T14:36:18.820793,5.0,,
SCNA17790DA,F,Hyderabad,,,,,,2026-09-22T04:15:57.645234,,,
SCN3FFFFBA2,H,Delhi,Vadodara,Vadodara,,V01,2026-09-22T10:30:20.337286,2026-09-22T09:06:08.123864,,,
SCN1C6A5FC5,E,Ahmedabad,Mumbai,Mumbai,9.627319531084101,M02,2026-09-23T04:58:54.314786,2026-09-22T19:22:15.964474,,,
SCNA90E2233,B,Hyderabad,Surat,Surat,,S01,2026-09-23T03:40:40.664629,2026-09-23T01:26:40.722350,5.0,,
SCN5730C489,D,Ahmedabad,Pune,Pune,,P02,2026-09-23T04:48:10.220212,2026-09-23T00:43:42.270655,,2.0,"['Vadodara', 'Pune']"
SCNA95C49C9,B,Delhi,Surat,Surat,,S02,2026-09-23T08:33:52.531996,2026-09-23T05:31:43.508226,4.0,,
SCN6ADA81CA,A,Pune,Bengaluru,Bengaluru,,B03,2026-09-23T04:17:18.495957,2026-09-23T03:05:38.342884,,,
SCN80F13AB2,D,Ahmedabad,Mumbai,Mumbai,,M04,2026-09-23T12:21:42.689778,2026-09-23T07:20:37.292901,,2.0,"['Vadodara', 'Mumbai']"
SCNE67DF59B,C,Ahmedabad,Mumbai,Mumbai,,M07,2026-09-23T08:31:45.735908,2026-09-23T05:39:53.704192,,3.0,"['Surat', 'Hyderabad', 'Mumbai']"
SCNE5E80419,C,Ahmedabad,Mumbai,Mumbai,,M07,2026-09-23T14:41:53.432286,2026-09-23T11:12:11.330374,,3.0,"['Surat', 'Hyderabad', 'Mumbai']"
SCNA3D258BC,F,Bengaluru,,,,,,2026-09-23T07:44:25.892640,,,
SCN504C57AE,C,Ahmedabad,Mumbai,Mumbai,,M04,2026-09-23T10:53:46.117677,2026-09-23T06:49:37.914452,,3.0,"['Surat', 'Delhi', 'Mumbai']"
SCN52256BD1,E,Delhi,Vadodara,Vadodara,8.022499878925391,V03,2026-09-24T00:03:59.630812,2026-09-23T16:14:38.631248,,,
SCN5A2DA637,A,Mumbai,Hyderabad,Hyderabad,,H02,2026-09-24T00:26:48.587118,2026-09-23T23:31:55.575877,,,
SCNB20A3441,F,Pune,,,,,,2026-09-24T07:34:12.018211,,,
SCNA87C7C08,H,Mumbai,Ahmedabad,Ahmedabad,,A05,2026-09-24T12:55:06.235451,2026-09-24T11:46:54.384317,,,
SCN7CE8B5E8,B,Ahmedabad,Pune,Pune,,P02,2026-09-24T09:14:26.691226,2026-09-24T07:48:24.701730,3.0,,
SCN943CC194,E,Surat,Delhi,Delhi,16.3823661438015,D02,2026-09-25T08:31:16.631234,2026-09-24T16:17:20.113116,,,
SCN6990B149,C,Ahmedabad,Mumbai,Mumbai,,M03,2026-09-24T13:25:04.077509,2026-09-24T11:11:37.975562,,3.0,"['Hyderabad', 'Delhi', 'Mumbai']"
SCN11A11415,E,Surat,Vadodara,Vadodara,10.16310897068137,V02,2026-09-24T18:45:55.260799,2026-09-24T08:42:08.068505,,,
SCN07E78877,F,Surat,,,,,,2026-09-24T16:02:33.662265,,,
SCN1FE556F4,A,Vadodara,Surat,Surat,,S01,2026-09-24T12:43:49.740833,2026-09-24T11:50:32.260784,,,
SCN2019F8F3,E,Hyderabad,Ahmedabad,Ahmedabad,14.013022334750648,A05,2026-09-25T22:55:34.048863,2026-09-25T09:09:47.168458,,,
