withdrawal_id,timestamp,account_id,location_id,amount,atm_id,scenario_id,is_ground_truth
WDRAC421BAA,2026-09-05T05:10:59.822267,MUL1471A1D4,H03,72876.38,ATM-H03-03,SCN197AB5B8,True
WDR0BF6A367,2026-09-05T16:56:49.148907,MULB65B5A89,S03,35259.97,ATM-S03-03,SCN58296237,True
WDRF38C9D4D,2026-09-05T07:20:27.934517,MUL8B545170,P04,66045.08,ATM-P04-02,SCNC86E61F3,True
WDR3231DE71,2026-09-05T16:28:00.900699,MUL1D090C85,P01,66303.83,ATM-P01-07,SCN84B3465C,True
WDR99594109,2026-09-05T14:05:11.480716,MULACC90104,V02,82648.41,ATM-V02-03,SCN57590358,True
WDR89A8DDC8,2026-09-05T19:18:19.066937,MULF3C87643,V03,56990.12,ATM-V03-10,SCN94C53003,True
WDRF40D968A,2026-09-06T10:52:51.569156,MUL45F05989,D01,82271.81,ATM-D01-10,SCN1430A9F8,True
WDR4F96FF54,2026-09-06T04:09:12.400017,MUL1CE6B047,M04,79354.12,ATM-M04-07,SCN54F032F5,True
WDRF8FCD952,2026-09-06T10:49:05.896904,MUL9CD2FF18,M01,64509.28,ATM-M01-04,SCNB68A9047,True
WDR4FCCDDD7,2026-09-06T22:54:15.404744,MUL549C606A,D01,92736.55,ATM-D01-03,SCNB38640F6,True
WDR6E33182D,2026-09-06T11:25:34.111992,MUL997A282F,D02,50371.49,ATM-D02-07,SCN8A5E36BA,True
WDR829776EE,2026-09-06T14:12:43.186462,MUL94EB3968,M06,62161.26,ATM-M06-03,SCNC2EF5193,True
WDR4E9AAA88,2026-09-06T23:11:08.815247,MUL11501D52,D03,38529.52,ATM-D03-10,SCN553FBA34,True
WDR2BB4E812,2026-09-06T16:05:05.231360,MULF987C3B0,P04,25875.79,ATM-P04-06,SCNDFAD7C85,True
WDR870A5559,2026-09-07T15:24:52.546301,MUL83D8BB43,B02,53027.52,ATM-B02-03,SCN956F282A,True
WDRDF3DD65B,2026-09-07T08:21:03.289343,MUL29C2ED8E,M04,22949.85,ATM-M04-09,SCN3EE48FDB,True
WDR6094F149,2026-09-07T20:05:16.585516,MULF3D9A22E,M04,53051.38,ATM-M04-01,SCNA23AB12D,True
WDRF3CBE70D,2026-09-07T21:47:28.021243,MULF2A3AF11,M07,37837.19,ATM-M07-03,SCNF657CA10,True
WDR88800F5F,2026-09-07T13:34:38.021797,MUL5D6B67FA,H01,74274.11,ATM-H01-03,SCN86B8A3F4,True
WDR6FEE34AA,2026-09-08T05:59:18.743642,MULEFA7A9CA,M02,48102.29,ATM-M02-09,SCNA0002A03,True
WDRCC37312E,2026-09-07T23:10:16.267341,MUL9B29488E,V02,38840.33,ATM-V02-10,SCN1BD4D4C8,True
WDR7258D966,2026-09-08T05:34:40.901252,MULD0FAEF0E,A04,56368.22,ATM-A04-03,SCN6917C1D3,True
WDREC7A1D1A,2026-09-08T06:23:24.000512,MUL20C6D1E4,M03,26081.03,ATM-M03-04,SCNEAE4F55C,True
WDRBDF5259D,2026-09-08T14:24:51.846180,MULE42BF1E2,P03,62025.46,ATM-P03-09,SCN72B77C31,True
WDR23BBA354,2026-09-08T21:02:58.387463,MUL026FD96D,M03,54978.85,ATM-M03-07,SCN52AC93CB,True
WDRB35977BE,2026-09-09T08:56:05.722088,MUL88C3681C,M04,75041.56,ATM-M04-10,SCNBB2F8BDD,True
WDR38F581BE,2026-09-09T18:51:26.885935,MULC6F1DCD0,M05,53089.9,ATM-M05-06,SCN69CB2441,True
WDRED028E3F,2026-09-09T19:32:46.587169,MULC65C1182,P02,92917.04,ATM-P02-04,SCN80E418A1,True
WDR176AD065,2026-09-09T16:53:44.546095,MULD665AA8A,M05,46163.55,ATM-M05-05,SCN3E47A740,True
WDRDA922B28,2026-09-10T06:58:16.059834,MULD272F5F7,M02,159083.93,ATM-M02-03,SCN129ECE9E,True
WDR3D235E34,2026-09-09T17:57:43.263213,MUL21269F4D,V03,90076.61,ATM-V03-06,SCN3DB7FAAC,True
WDRFE955BCC,2026-09-09T16:47:51.629444,MULA7383AC8,D04,23840.6,ATM-D04-09,SCN35E3BFEB,True
WDR82FEBC64,2026-09-10T05:55:46.939594,MULADFD0748,M01,44085.09,ATM-M01-07,SCN0E3D0C6B,True
WDR1A524366,2026-09-10T08:47:35.894407,MUL97430F7E,P03,83296.29,ATM-P03-06,SCN59658012,True
WDR5EAD0883,2026-09-10T13:20:59.999819,MUL90D081A2,B01,21257.12,ATM-B01-06,SCN99516084,True
WDR4C08740E,2026-09-10T18:42:25.843095,MULEF3B3444,P03,53717.07,ATM-P03-05,SCNCFCC0F59,True
WDRD31EF719,2026-09-10T18:24:28.943369,MUL179E1013,D01,105276.73,ATM-D01-08,SCNF9920FA3,True
WDR5BE1BC1E,2026-09-11T05:01:48.019206,MUL649DAC3F,M04,39732.77,ATM-M04-02,SCN861DF698,True
WDR49E38832,2026-09-11T00:22:38.511446,MUL41A1BF70,M06,94836.73,ATM-M06-01,SCNE3CAC2B3,True
WDR40ECA8B9,2026-09-11T04:08:38.276682,MULEF3CB338,S03,180761.21,ATM-S03-10,SCNDCC271C9,True
WDR66616379,2026-09-12T08:19:38.303847,MUL33C6912F,B04,51615.69,ATM-B04-07,SCN5F06420A,True
WDR682FD756,2026-09-11T13:07:52.696906,MULC989F072,M05,92572.94,ATM-M05-04,SCN7063EF34,True
WDRFB16DE84,2026-09-11T17:17:41.782295,MUL77D7C7CA,M05,67941.37,ATM-M05-10,SCN0293F9EC,True
WDR79EABDA8,2026-09-11T23:00:39.356177,MUL7814EC3B,M06,33005.38,ATM-M06-04,SCN92D977E7,True
WDRD160B87D,2026-09-11T23:27:46.979525,MUL17C4A786,P04,101776.99,ATM-P04-05,SCN68460353,True
WDRC8E68CE3,2026-09-12T14:12:21.293640,MUL28AC2D80,D02,39734.94,ATM-D02-01,SCNDC781FE3,True
WDRC3FC741B,2026-09-12T11:33:25.130525,MUL8E6E650D,M07,31196.67,ATM-M07-01,SCN9C28AF8F,True
WDR786FDEFA,2026-09-12T16:12:50.777489,MULFFC2C2F4,M06,27325.04,ATM-M06-01,SCN722D256F,True
WDR938AF9A0,2026-09-12T04:18:35.188954,MULFF16B0F3,M07,89947.72,ATM-M07-01,SCND817CB83,True
WDRAB7E1D61,2026-09-12T07:58:08.776082,MUL54244569,M04,23851.79,ATM-M04-04,SCN4EDDFAC8,True
WDR2B02197A,2026-09-12T13:39:19.147446,MUL6389C9E8,S01,88508.03,ATM-S01-10,SCN87D16BA2,True
WDRCDD5FCBD,2026-09-12T17:55:50.520485,MUL0A58B87F,B02,49237.44,ATM-B02-08,SCNC9BB24CD,True
WDR5CADA95A,2026-09-13T02:28:48.951959,MUL362BD4A2,M03,67903.74,ATM-M03-04,SCN705D93D1,True
WDRD5AE0728,2026-09-13T10:13:20.918599,MUL7353EFB3,M02,65166.47,ATM-M02-03,SCNEC60C886,True
WDR0461421D,2026-09-13T02:15:25.876979,MUL60E052F0,M02,56432.0,ATM-M02-01,SCN32E7C87A,True
WDRF01A9A36,2026-09-13T05:22:14.886346,MULFC6DBBB2,A02,90105.3,ATM-A02-10,SCN7423D3B8,True
WDRFE004FA6,2026-09-13T17:52:32.384322,MULF9C191F4,M06,74289.7,ATM-M06-09,SCN87651F2A,True
WDR59287337,2026-09-13T19:45:34.189116,MULA675B1C2,S03,88855.56,ATM-S03-06,SCN581CF1DB,True
WDRDA6DBF77,2026-09-13T13:40:57.873887,MUL65403810,M05,39621.99,ATM-M05-02,SCN9A66AF58,True
WDRE94BC88B,2026-09-14T03:33:03.665757,MUL784265CE,V02,36945.24,ATM-V02-09,SCNC490C64E,True
WDRB0318616,2026-09-14T03:40:35.233925,MUL8DC94622,P03,70861.76,ATM-P03-06,SCN9D2E3AD2,True
WDR73CBA15D,2026-09-14T14:36:46.732979,MUL0CD7CCAA,S01,65023.3,ATM-S01-07,SCN41AD4141,True
WDR201CD3AD,2026-09-14T09:57:45.477700,MUL45134208,M06,68462.44,ATM-M06-09,SCN175B8C0F,True
WDRC6A8275E,2026-09-14T18:24:09.218628,MUL95ECB53F,A05,74379.08,ATM-A05-08,SCNDDBFD801,True
WDR72DF0372,2026-09-14T12:40:33.342558,MUL23797214,M03,30901.67,ATM-M03-05,SCN333DA88D,True
WDR6F9C2045,2026-09-14T09:54:53.869179,MULF5377E05,D03,55779.46,ATM-D03-09,SCN99C050D3,True
WDRE6788074,2026-09-14T23:48:00.011522,MUL50BED7EE,P01,73099.22,ATM-P01-07,SCN3F5885A3,True
WDR6777A885,2026-09-15T06:05:27.139837,MUL1B4E1454,D02,62969.65,ATM-D02-04,SCNBC37FFA2,True
WDR3BF069A7,2026-09-15T09:12:11.243174,MUL4C73829D,H02,30792.01,ATM-H02-07,SCNC20E1CA7,True
WDR85EE5069,2026-09-15T10:03:10.679475,MUL6507AB93,V03,54466.74,ATM-V03-04,SCNC88F731A,True
WDRBB3755BD,2026-09-15T18:58:58.090443,MUL1A69559D,M05,74484.62,ATM-M05-02,SCN47DCA796,True
WDRD3FE70E8,2026-09-15T15:50:46.829017,MUL1FAA8210,P01,165122.3,ATM-P01-10,SCN4DCD6C15,True
WDR646A9181,2026-09-15T13:52:42.123684,MUL665EB29B,A05,46905.56,ATM-A05-04,SCN76318FDE,True
WDR41B221C3,2026-09-16T05:02:56.152178,MUL3AF87EFA,B01,80551.03,ATM-B01-07,SCN00CDF8BC,True
WDR83319459,2026-09-15T20:19:15.498948,MUL68E265F6,M01,43948.26,ATM-M01-04,SCNC9C5B7CD,True
WDR190628DF,2026-09-16T00:18:07.009781,MUL72DE506B,M06,19880.89,ATM-M06-07,SCNC2513A9D,True
WDRFBE956F3,2026-09-16T00:46:02.590065,MUL5DA3C7E2,H01,159541.67,ATM-H01-01,SCN9557D7FC,True
WDR2447CFD2,2026-09-16T17:27:50.092014,MUL668B44E3,V03,44901.96,ATM-V03-09,SCN24635CF3,True
WDREE3320B4,2026-09-16T19:46:03.199090,MULC48C7973,S03,144378.04,ATM-S03-07,SCNAA9D8B45,True
WDR1A45EA34,2026-09-16T16:54:28.910941,MUL1C600771,M07,29712.48,ATM-M07-01,SCN1CD45703,True
WDR9735C08D,2026-09-17T03:07:45.568861,MUL59A64B6C,M05,97304.17,ATM-M05-09,SCN82CE9E1A,True
WDRF4CBB6AB,2026-09-17T19:52:20.972682,MUL427C73CC,H02,39752.69,ATM-H02-10,SCN9D57ED09,True
WDRFD5682A8,2026-09-17T10:42:27.411558,MULA4B87414,M05,34805.65,ATM-M05-02,SCN24EC537A,True
WDR918849B6,2026-09-17T11:43:50.094886,MUL5793AB52,M06,40309.25,ATM-M06-06,SCNA7D81162,True
WDR88FACE09,2026-09-17T23:15:42.165820,MUL8BA9A111,M06,87937.38,ATM-M06-09,SCNDF0A6602,True
WDR154A4DFD,2026-09-17T21:06:17.552451,MUL285C42E9,V03,34744.64,ATM-V03-03,SCN0E606D5D,True
WDR600013D6,2026-09-18T05:09:05.994442,MULEE9DBFC8,M01,42328.62,ATM-M01-01,SCND1BC99B0,True
WDR5AD3BCCA,2026-09-18T13:24:37.899546,MUL832887AD,M07,27392.74,ATM-M07-05,SCN54D31427,True
WDR25E313EF,2026-09-17T22:27:28.974030,MUL6B91896C,M06,84577.95,ATM-M06-09,SCN4B0292E8,True
WDR4E9E3AC8,2026-09-18T06:29:32.685931,MULF0AEB2D3,H01,57339.44,ATM-H01-06,SCN9C96A75D,True
WDRA0359602,2026-09-18T12:39:43.838063,MUL66BC07F3,V01,157544.83,ATM-V01-10,SCN94C008F4,True
WDR264E618E,2026-09-18T05:44:47.491828,MUL972D633F,M01,58220.77,ATM-M01-02,SCN95BA0E96,True
WDR5E73F311,2026-09-18T09:13:43.503408,MUL60BB6A2B,M05,91782.37,ATM-M05-03,SCNC0E9F3EC,True
WDR865DFE7B,2026-09-18T15:14:39.513505,MUL6AEF1F7D,B02,71514.82,ATM-B02-08,SCNB059913A,True
WDR2847C841,2026-09-18T11:00:49.770220,MULC46397D4,A05,78726.4,ATM-A05-06,SCND879800F,True
WDRFD63D4F9,2026-09-19T08:34:37.660124,MULAFF50D52,A04,56373.67,ATM-A04-10,SCNB2F0E0C8,True
WDRFD722761,2026-09-19T08:13:00.747380,MUL22F5A7C9,B04,113005.93,ATM-B04-10,SCN24BC08EF,True
WDR7D230D6A,2026-09-19T07:22:02.520505,MUL6A00D913,M07,43493.53,ATM-M07-06,SCNE8C8E3DB,True
WDRB7534B10,2026-09-19T10:33:13.047307,MUL16EC7E8B,B03,24988.65,ATM-B03-06,SCN73F580F8,True
WDRA885DCF1,2026-09-19T23:46:32.181399,MULBB84E727,M06,39261.73,ATM-M06-08,SCNC7F6BB66,True
WDRD76362C4,2026-09-19T18:49:04.476430,MULC882ACC6,B03,116814.54,ATM-B03-05,SCNF980401E,True
WDRDB60056D,2026-09-20T03:40:04.825552,MUL74DA6AB6,P01,147956.94,ATM-P01-02,SCNF7B5F035,True
WDRE03F3240,2026-09-19T15:57:35.787667,MUL26C827E9,H02,107464.48,ATM-H02-10,SCN96BEA6BD,True
WDR2035F0CE,2026-09-20T05:43:23.818167,MULF7565072,P02,32208.71,ATM-P02-06,SCNFBFE9EAF,True
WDR60CAD954,2026-09-20T09:29:00.853834,MUL796DB93F,B02,94281.22,ATM-B02-07,SCN0DBF958B,True
WDR4E202629,2026-09-20T07:42:01.668120,MUL6183ADB5,V03,37442.96,ATM-V03-06,SCN97A8BCD9,True
WDR5DA8B5B5,2026-09-20T10:34:15.005677,MULAF55A6E4,A02,19275.1,ATM-A02-10,SCN7BB7DA0B,True
WDRE4AE7C76,2026-09-21T00:05:04.082539,MULBCD19BCE,B03,143861.06,ATM-B03-05,SCN8C7C57C7,True
WDRF8699E47,2026-09-20T07:03:33.764540,MULF41FF081,M06,82731.48,ATM-M06-06,SCNA6C24667,True
WDRA5A6CE2F,2026-09-20T15:01:22.734465,MULE838EA3D,P01,78197.28,ATM-P01-04,SCNDAD5C466,True
WDRD5925140,2026-09-20T15:28:00.697211,MUL67DECCB8,M04,62477.29,ATM-M04-07,SCN91CD6D34,True
WDR043074CB,2026-09-21T04:20:31.874260,MUL76094229,M02,77880.4,ATM-M02-05,SCNB0AABF19,True
WDR52B9397B,2026-09-21T14:05:58.588491,MUL781DA818,P01,56344.16,ATM-P01-01,SCNB60149A8,True
WDR7DDB68D8,2026-09-22T09:58:17.677262,MUL2A2EC829,H03,23054.99,ATM-H03-06,SCN55CF4A56,True
WDR8CDFEAAC,2026-09-21T07:33:44.518036,MUL7969DEAB,M01,75982.36,ATM-M01-01,SCN6CE08EB8,True
WDRA8C439D9,2026-09-21T20:53:48.021105,MULE05BE990,B02,38272.94,ATM-B02-01,SCND9728521,True
WDR80459179,2026-09-21T17:34:41.610519,MUL85F62A9E,P02,67977.53,ATM-P02-06,SCN43F4E51B,True
WDR23BD7007,2026-09-22T08:15:58.263960,MUL2439B058,A03,71529.95,ATM-A03-09,SCN38ABC373,True
WDR91FA56FF,2026-09-22T17:57:37.353932,MUL95D0B4BA,S03,108067.21,ATM-S03-01,SCN732581A5,True
WDR9F8B81A4,2026-09-22T10:30:20.337286,MUL2CB8B944,V01,51512.85,ATM-V01-05,SCN3FFFFBA2,True
WDRD249BF09,2026-09-23T04:58:54.314786,MUL46E8FE7C,M02,52255.46,ATM-M02-06,SCN1C6A5FC5,True
WDRB2BA8A27,2026-09-23T03:40:40.664629,MUL569EC2A8,S01,121030.75,ATM-S01-09,SCNA90E2233,True
WDR197E1D53,2026-09-23T04:48:10.220212,MUL4CE4F645,P02,71082.09,ATM-P02-07,SCN5730C489,True
WDRCC9ADCDE,2026-09-23T08:33:52.531996,MUL73DEDFBE,S02,92580.68,ATM-S02-10,SCNA95C49C9,True
WDRCE3D0E0A,2026-09-23T04:17:18.495957,MUL5A465ED9,B03,37311.24,ATM-B03-07,SCN6ADA81CA,True
WDRD4C5E824,2026-09-23T12:21:42.689778,MULB4FB157F,M04,102334.89,ATM-M04-10,SCN80F13AB2,True
WDRC5BD9B99,2026-09-23T08:31:45.735908,MULF26EC2F6,M07,51695.25,ATM-M07-02,SCNE67DF59B,True
WDRFE03E17B,2026-09-23T14:41:53.432286,MULEEEA1433,M07,31968.94,ATM-M07-02,SCNE5E80419,True
WDRD188732A,2026-09-23T10:53:46.117677,MULB8D28263,M04,37693.0,ATM-M04-01,SCN504C57AE,True
WDRF6CD43C9,2026-09-24T00:03:59.630812,MUL90746071,V03,41358.06,ATM-V03-09,SCN52256BD1,True
WDR51F3B6BC,2026-09-24T00:26:48.587118,MULD952F3D8,H02,20613.11,ATM-H02-03,SCN5A2DA637,True
WDR189930B3,2026-09-24T12:55:06.235451,MUL89EA1EC3,A05,64905.76,ATM-A05-09,SCNA87C7C08,True
WDR5EAF5B36,2026-09-24T09:14:26.691226,MUL35C269A6,P02,49527.82,ATM-P02-06,SCN7CE8B5E8,True
WDR2C70327D,2026-09-25T08:31:16.631234,MUL98EA72A3,D02,67256.18,ATM-D02-05,SCN943CC194,True
WDRCF1AB24D,2026-09-24T13:25:04.077509,MUL4307FD40,M03,37967.23,ATM-M03-09,SCN6990B149,True
WDR3CFA50F8,2026-09-24T18:45:55.260799,MUL48C037AE,V02,59344.71,ATM-V02-05,SCN11A11415,True
WDRB36F312C,2026-09-24T12:43:49.740833,MULC1ABF3DB,S01,48123.06,ATM-S01-03,SCN1FE556F4,True
WDR5D094287,2026-09-25T22:55:34.048863,MUL6342562E,A05,26458.49,ATM-A05-09,SCN2019F8F3,True
WDRF5F63FC1,2026-09-25T09:10:35.563592,MUL2EF50CB0,M03,45283.82,ATM-M03-03,SCN1D462A4E,True
WDRF2F39D84,2026-09-25T11:41:11.044099,MULF6220926,M05,95607.96,ATM-M05-07,SCN6A3F6780,True
WDR69045030,2026-09-25T20:32:14.828629,MULC9D61406,M03,31346.45,ATM-M03-10,SCN158BF6FE,True
WDR91EC5B86,2026-09-26T00:17:34.654553,MULD46E7919,M06,99614.27,ATM-M06-07,SCN5E50D679,True
WDR5D36732D,2026-09-25T14:38:29.067410,MUL5AC113B4,H01,88891.1,ATM-H01-08,SCN04BF657C,True
WDR90767143,2026-09-25T16:04:12.601112,MUL2FA034D3,M03,123775.03,ATM-M03-03,SCNA2868E49,True
WDR545FE7A7,2026-09-25T22:25:44.628553,MULC062AE03,M03,92348.59,ATM-M03-10,SCN0A9D596A,True
WDREC0AA83A,2026-09-26T07:11:30.604394,MULA7ACCFB5,M07,88364.65,ATM-M07-01,SCNECBDEFD6,True
WDR354C0D08,2026-09-26T05:15:35.032722,MULEF950082,D03,65612.78,ATM-D03-08,SCNF7604614,True
WDRC9586937,2026-09-25T21:46:58.570099,MUL962B9EA6,B01,70633.2,ATM-B01-03,SCNA9F3B800,True
WDRCEA9B00F,2026-09-26T22:15:54.928341,MULB275EC9D,M05,30561.71,ATM-M05-02,SCN29DBD1E1,True
WDRDCCD2A96,2026-09-26T23:18:21.888992,MUL83476A1F,S01,42631.29,ATM-S01-08,SCN9F513F2B,True
WDR7A7BB1A5,2026-09-26T21:33:12.636952,MUL7F0A6C0F,B03,34326.09,ATM-B03-06,SCN1DBBD7B5,True
