account_id,bank_id,account_type,account_age_days,city,state,location_id,risk_label,mule_risk_score,created_at
ACCB8A947FF,PNB,prepaid,405,Vadodara,Gujarat,V02,clean,0.0,2025-07-23T08:00:00
ACC197D4DDA,HDFC,prepaid,1920,Mumbai,Maharashtra,M07,clean,0.0,2021-05-30T08:00:00
ACCF3A0259A,Union,savings,1365,Surat,Gujarat,S01,clean,0.0,2022-12-06T08:00:00
ACC73BC1ECE,BOB,prepaid,370,Surat,Gujarat,S01,clean,0.0,2025-08-27T08:00:00
ACC36706AAB,BOB,savings,1800,Hyderabad,Telangana,H01,clean,0.0,2021-09-27T08:00:00
ACC9A509A1B,BOB,current,34,Vadodara,Gujarat,V02,clean,0.0,2026-07-29T08:00:00
ACC3F268563,Union,prepaid,896,Hyderabad,Telangana,H02,clean,0.0,2024-03-19T08:00:00
ACC3CDC9F08,Axis,savings,637,Vadodara,Gujarat,V01,clean,0.0,2024-12-03T08:00:00
ACC25D7C1C1,SBI,prepaid,147,Ahmedabad,Gujarat,A03,clean,0.0,2026-04-07T08:00:00
ACCA8612199,Union,savings,1997,Vadodara,Gujarat,V01,clean,0.0,2021-03-14T08:00:00
ACC255976E9,HDFC,savings,1248,Vadodara,Gujarat,V01,clean,0.0,2023-04-02T08:00:00
ACC3492CE95,Yes Bank,savings,1958,Bengaluru,Karnataka,B01,clean,0.0,2021-04-22T08:00:00
ACC306300F3,BOB,current,197,Ahmedabad,Gujarat,A05,clean,0.0,2026-02-16T08:00:00
ACCE0226E14,Kotak,savings,1401,Pune,Maharashtra,P02,clean,0.0,2022-10-31T08:00:00
ACC8EB472F2,PNB,prepaid,298,Pune,Maharashtra,P04,clean,0.0,2025-11-07T08:00:00
ACC3A4E00CF,Canara,savings,49,Delhi,Delhi,D01,clean,0.0,2026-07-14T08:00:00
ACC2F9E7B6E,Union,current,466,Surat,Gujarat,S03,clean,0.0,2025-05-23T08:00:00
ACCA72AEC92,HDFC,savings,1834,Vadodara,Gujarat,V02,clean,0.0,2021-08-24T08:00:00
ACC2B09A95A,Canara,current,353,Delhi,Delhi,D03,clean,0.0,2025-09-13T08:00:00
ACC6AF88BB4,HDFC,savings,643,Ahmedabad,Gujarat,A05,clean,0.0,2024-11-27T08:00:00
ACCF7087D39,HDFC,savings,1852,Pune,Maharashtra,P01,clean,0.0,2021-08-06T08:00:00
ACCB00DE747,Axis,current,1268,Pune,Maharashtra,P03,clean,0.0,2023-03-13T08:00:00
ACCFADA496A,PNB,prepaid,1328,Mumbai,Maharashtra,M06,clean,0.0,2023-01-12T08:00:00
ACC38F38CBA,BOB,current,219,Pune,Maharashtra,P01,clean,0.0,2026-01-25T08:00:00
ACC1C312836,ICICI,current,713,Ahmedabad,Gujarat,A01,clean,0.0,2024-09-18T08:00:00
ACCD1EA2733,Union,prepaid,934,Vadodara,Gujarat,V03,clean,0.0,2024-02-10T08:00:00
ACCC3516490,ICICI,savings,184,Ahmedabad,Gujarat,A01,clean,0.0,2026-03-01T08:00:00
ACCDAFD680F,ICICI,savings,910,Delhi,Delhi,D02,clean,0.0,2024-03-05T08:00:00
ACC7252692A,SBI,current,1871,Pune,Maharashtra,P03,clean,0.0,2021-07-18T08:00:00
ACC160322ED,HDFC,current,541,Mumbai,Maharashtra,M06,clean,0.0,2025-03-09T08:00:00
ACCAE4E8EB0,Axis,savings,1925,Bengaluru,Karnataka,B02,clean,0.0,2021-05-25T08:00:00
ACCD8E61902,ICICI,current,80,Vadodara,Gujarat,V02,clean,0.0,2026-06-13T08:00:00
ACCBCD8CF83,ICICI,savings,576,Bengaluru,Karnataka,B02,clean,0.0,2025-02-02T08:00:00
ACC0A1615FA,Canara,savings,1788,Bengaluru,Karnataka,B01,clean,0.0,2021-10-09T08:00:00
ACC2526F13E,Canara,current,1910,Mumbai,Maharashtra,M07,clean,0.0,2021-06-09T08:00:00
ACC2B99CCAB,SBI,savings,486,Pune,Maharashtra,P02,clean,0.0,2025-05-03T08:00:00
ACC8D39CAC1,HDFC,current,600,Bengaluru,Karnataka,B03,clean,0.0,2025-01-09T08:00:00
ACCE0933405,Union,current,1421,Delhi,Delhi,D04,clean,0.0,2022-10-11T08:00:00
ACCC654FE1E,PNB,savings,1826,Ahmedabad,Gujarat,A01,clean,0.0,2021-09-01T08:00:00
ACC4BE85EEC,Yes Bank,prepaid,252,Pune,Maharashtra,P01,clean,0.0,2025-12-23T08:00:00
ACC9A57047A,Yes Bank,savings,923,Delhi,Delhi,D03,clean,0.0,2024-02-21T08:00:00
ACCFB46F20B,SBI,prepaid,551,Bengaluru,Karnataka,B02,clean,0.0,2025-02-27T08:00:00
ACC79D7D1C6,Union,savings,1925,Ahmedabad,Gujarat,A05,clean,0.0,2021-05-25T08:00:00
ACC4E2C5E1F,Kotak,current,173,Delhi,Delhi,D04,clean,0.0,2026-03-12T08:00:00
ACC93FC008A,PNB,current,1873,Surat,Gujarat,S03,clean,0.0,2021-07-16T08:00:00
ACCF7CB35BB,PNB,savings,854,Bengaluru,Karnataka,B03,clean,0.0,2024-04-30T08:00:00
ACC33A84019,BOB,savings,1391,Mumbai,Maharashtra,M04,clean,0.0,2022-11-10T08:00:00
ACC31DBFE3B,SBI,current,1152,Pune,Maharashtra,P04,clean,0.0,2023-07-07T08:00:00
ACC1C7CD0E3,Yes Bank,current,910,Pune,Maharashtra,P02,clean,0.0,2024-03-05T08:00:00
ACCCE990232,Axis,prepaid,935,Hyderabad,Telangana,H02,clean,0.0,2024-02-09T08:00:00
ACCAA3E2625,PNB,current,203,Vadodara,Gujarat,V03,clean,0.0,2026-02-10T08:00:00
ACC710D9ACC,PNB,savings,1407,Surat,Gujarat,S01,clean,0.0,2022-10-25T08:00:00
ACC4E8BDFB7,SBI,savings,80,Mumbai,Maharashtra,M02,clean,0.0,2026-06-13T08:00:00
ACCFF59D159,HDFC,prepaid,1770,Hyderabad,Telangana,H03,clean,0.0,2021-10-27T08:00:00
ACCAD3B79B9,BOB,prepaid,1501,Bengaluru,Karnataka,B02,clean,0.0,2022-07-23T08:00:00
ACC25C67DB1,SBI,savings,332,Bengaluru,Karnataka,B02,clean,0.0,2025-10-04T08:00:00
ACCD37F67DE,Union,prepaid,390,Bengaluru,Karnataka,B02,clean,0.0,2025-08-07T08:00:00
ACC07305955,HDFC,prepaid,540,Ahmedabad,Gujarat,A05,clean,0.0,2025-03-10T08:00:00
ACC1DAF3DDF,Union,current,1397,Vadodara,Gujarat,V02,clean,0.0,2022-11-04T08:00:00
ACCB421C7B7,Union,prepaid,1699,Hyderabad,Telangana,H03,clean,0.0,2022-01-06T08:00:00
ACCFDCD312C,Canara,prepaid,1553,Hyderabad,Telangana,H01,clean,0.0,2022-06-01T08:00:00
ACCAC14631E,PNB,prepaid,1750,Pune,Maharashtra,P02,clean,0.0,2021-11-16T08:00:00
ACC1F9BE557,HDFC,current,930,Mumbai,Maharashtra,M03,clean,0.0,2024-02-14T08:00:00
ACC5E1F6369,Kotak,savings,717,Mumbai,Maharashtra,M03,clean,0.0,2024-09-14T08:00:00
ACCC4B84186,BOB,savings,503,Vadodara,Gujarat,V01,clean,0.0,2025-04-16T08:00:00
ACCDEE5E4CF,BOB,current,879,Mumbai,Maharashtra,M01,clean,0.0,2024-04-05T08:00:00
ACC9D6A431F,Axis,prepaid,157,Hyderabad,Telangana,H02,clean,0.0,2026-03-28T08:00:00
ACC3E5904D9,Yes Bank,prepaid,1784,Bengaluru,Karnataka,B01,clean,0.0,2021-10-13T08:00:00
ACC48198B55,Kotak,current,1960,Hyderabad,Telangana,H01,clean,0.0,2021-04-20T08:00:00
ACCEA50DA40,Union,savings,1132,Bengaluru,Karnataka,B04,clean,0.0,2023-07-27T08:00:00
ACC52D8DD3E,BOB,prepaid,588,Hyderabad,Telangana,H01,clean,0.0,2025-01-21T08:00:00
ACC8AE5123D,BOB,savings,718,Ahmedabad,Gujarat,A04,clean,0.0,2024-09-13T08:00:00
ACC054EE322,Union,savings,1304,Hyderabad,Telangana,H01,clean,0.0,2023-02-05T08:00:00
ACCDE390CA8,BOB,savings,201,Bengaluru,Karnataka,B01,clean,0.0,2026-02-12T08:00:00
ACCE99DEAEA,PNB,prepaid,132,Hyderabad,Telangana,H01,clean,0.0,2026-04-22T08:00:00
ACC7FE62629,Kotak,current,961,Delhi,Delhi,D02,clean,0.0,2024-01-14T08:00:00
ACCDC494048,BOB,current,1570,Bengaluru,Karnataka,B03,clean,0.0,2022-05-15T08:00:00
ACC3735D2F8,Union,savings,69,Surat,Gujarat,S02,clean,0.0,2026-06-24T08:00:00
ACCCE46AB7A,HDFC,savings,1361,Delhi,Delhi,D02,clean,0.0,2022-12-10T08:00:00
ACC77D5CD58,SBI,savings,438,Ahmedabad,Gujarat,A02,clean,0.0,2025-06-20T08:00:00
ACC717D34C6,HDFC,savings,999,Mumbai,Maharashtra,M02,clean,0.0,2023-12-07T08:00:00
ACC119506D6,Kotak,savings,554,Hyderabad,Telangana,H03,clean,0.0,2025-02-24T08:00:00
ACCC65E7EA8,HDFC,savings,667,Surat,Gujarat,S01,clean,0.0,2024-11-03T08:00:00
ACC9E1ADCCD,Axis,savings,842,Pune,Maharashtra,P04,clean,0.0,2024-05-12T08:00:00
ACC9F13CEE5,PNB,savings,1457,Mumbai,Maharashtra,M01,clean,0.0,2022-09-05T08:00:00
ACC0C55278B,BOB,current,1121,Ahmedabad,Gujarat,A03,clean,0.0,2023-08-07T08:00:00
ACCD63C2A42,Kotak,savings,1356,Surat,Gujarat,S03,clean,0.0,2022-12-15T08:00:00
ACCDB1473AF,BOB,current,246,Bengaluru,Karnataka,B04,clean,0.0,2025-12-29T08:00:00
ACCDBB7EC02,BOB,savings,343,Hyderabad,Telangana,H03,clean,0.0,2025-09-23T08:00:00
ACCA44C4C2F,BOB,current,982,Pune,Maharashtra,P04,clean,0.0,2023-12-24T08:00:00
ACCA8333650,HDFC,current,1731,Delhi,Delhi,D02,clean,0.0,2021-12-05T08:00:00
ACC1768DE2A,Canara,prepaid,1566,Hyderabad,Telangana,H01,clean,0.0,2022-05-19T08:00:00
ACC4F0E3C34,Kotak,savings,1042,Delhi,Delhi,D01,clean,0.0,2023-10-25T08:00:00
ACC85F273A8,PNB,current,756,Hyderabad,Telangana,H01,clean,0.0,2024-08-06T08:00:00
ACC8526430F,SBI,savings,1168,Pune,Maharashtra,P03,clean,0.0,2023-06-21T08:00:00
ACC0A886AE0,BOB,prepaid,1504,Surat,Gujarat,S01,clean,0.0,2022-07-20T08:00:00
ACCB3CC1A18,Canara,prepaid,1005,Mumbai,Maharashtra,M06,clean,0.0,2023-12-01T08:00:00
ACCE96C9E90,Axis,prepaid,632,Ahmedabad,Gujarat,A01,clean,0.0,2024-12-08T08:00:00
ACC3AADBE55,Yes Bank,current,1389,Mumbai,Maharashtra,M03,clean,0.0,2022-11-12T08:00:00
ACCCF7DFDC1,Kotak,prepaid,1117,Hyderabad,Telangana,H03,clean,0.0,2023-08-11T08:00:00
ACC7F370CA1,Canara,current,1469,Delhi,Delhi,D03,clean,0.0,2022-08-24T08:00:00
ACC24CFA352,HDFC,savings,502,Pune,Maharashtra,P03,clean,0.0,2025-04-17T08:00:00
ACC88B2E325,Union,savings,1551,Delhi,Delhi,D01,clean,0.0,2022-06-03T08:00:00
ACC354A4878,Canara,current,1542,Mumbai,Maharashtra,M02,clean,0.0,2022-06-12T08:00:00
ACC3C103A97,Axis,current,1735,Pune,Maharashtra,P01,clean,0.0,2021-12-01T08:00:00
ACC992464B6,PNB,savings,397,Mumbai,Maharashtra,M03,clean,0.0,2025-07-31T08:00:00
ACC79465428,SBI,current,123,Vadodara,Gujarat,V02,clean,0.0,2026-05-01T08:00:00
ACC07C9C48C,Canara,savings,1808,Vadodara,Gujarat,V03,clean,0.0,2021-09-19T08:00:00
ACC4F124ED5,Canara,prepaid,612,Ahmedabad,Gujarat,A05,clean,0.0,2024-12-28T08:00:00
ACC20FCD009,SBI,current,407,Hyderabad,Telangana,H02,clean,0.0,2025-07-21T08:00:00
ACC8425BF7E,HDFC,prepaid,1713,Hyderabad,Telangana,H01,clean,0.0,2021-12-23T08:00:00
ACCA57996B8,SBI,savings,1211,Hyderabad,Telangana,H01,clean,0.0,2023-05-09T08:00:00
ACC75116BCB,PNB,savings,1973,Vadodara,Gujarat,V03,clean,0.0,2021-04-07T08:00:00
ACCD966D482,BOB,savings,1172,Mumbai,Maharashtra,M01,clean,0.0,2023-06-17T08:00:00
ACCC44FFFD1,Canara,current,1890,Bengaluru,Karnataka,B04,clean,0.0,2021-06-29T08:00:00
ACC93A08937,Yes Bank,savings,1194,Bengaluru,Karnataka,B03,clean,0.0,2023-05-26T08:00:00
ACCD21C95D9,Axis,current,1311,Surat,Gujarat,S01,clean,0.0,2023-01-29T08:00:00
ACCFA314CC1,ICICI,savings,521,Surat,Gujarat,S01,clean,0.0,2025-03-29T08:00:00
ACCB94B16B2,Canara,prepaid,866,Vadodara,Gujarat,V01,clean,0.0,2024-04-18T08:00:00
ACCC1368768,PNB,current,504,Pune,Maharashtra,P01,clean,0.0,2025-04-15T08:00:00
ACCDC7454B0,Axis,current,1437,Hyderabad,Telangana,H01,clean,0.0,2022-09-25T08:00:00
ACC944F8E0A,Union,savings,265,Mumbai,Maharashtra,M04,clean,0.0,2025-12-10T08:00:00
ACC28A6CD66,ICICI,savings,1722,Vadodara,Gujarat,V02,clean,0.0,2021-12-14T08:00:00
ACC7F879A67,PNB,current,1653,Ahmedabad,Gujarat,A02,clean,0.0,2022-02-21T08:00:00
ACC78F41DAE,PNB,prepaid,989,Hyderabad,Telangana,H01,clean,0.0,2023-12-17T08:00:00
ACCB73ED5F0,HDFC,savings,926,Pune,Maharashtra,P04,clean,0.0,2024-02-18T08:00:00
ACC7D715DC3,PNB,savings,1266,Bengaluru,Karnataka,B03,clean,0.0,2023-03-15T08:00:00
ACC94539516,Yes Bank,savings,1999,Surat,Gujarat,S01,clean,0.0,2021-03-12T08:00:00
ACC2DAC1372,ICICI,prepaid,1592,Pune,Maharashtra,P01,clean,0.0,2022-04-23T08:00:00
ACC1FB39BF2,Yes Bank,prepaid,401,Hyderabad,Telangana,H02,clean,0.0,2025-07-27T08:00:00
ACC8C6D0744,Kotak,prepaid,992,Hyderabad,Telangana,H01,clean,0.0,2023-12-14T08:00:00
ACC04493972,HDFC,savings,1402,Delhi,Delhi,D03,clean,0.0,2022-10-30T08:00:00
ACC7C1257AC,Canara,current,1450,Delhi,Delhi,D04,clean,0.0,2022-09-12T08:00:00
ACCBFF1E1AB,HDFC,current,961,Bengaluru,Karnataka,B01,clean,0.0,2024-01-14T08:00:00
ACC1E938E13,BOB,savings,267,Pune,Maharashtra,P03,clean,0.0,2025-12-08T08:00:00
ACCA4C241F5,Axis,current,141,Hyderabad,Telangana,H02,clean,0.0,2026-04-13T08:00:00
ACC63842E16,SBI,savings,935,Hyderabad,Telangana,H03,clean,0.0,2024-02-09T08:00:00
ACC9CB0B2EF,PNB,prepaid,1929,Pune,Maharashtra,P02,clean,0.0,2021-05-21T08:00:00
ACCC8A12B86,Yes Bank,savings,89,Hyderabad,Telangana,H01,clean,0.0,2026-06-04T08:00:00
ACCF5980072,SBI,prepaid,1158,Vadodara,Gujarat,V02,clean,0.0,2023-07-01T08:00:00
ACC25B15F08,HDFC,prepaid,1753,Surat,Gujarat,S01,clean,0.0,2021-11-13T08:00:00
ACC9B06ED64,ICICI,prepaid,1734,Surat,Gujarat,S03,clean,0.0,2021-12-02T08:00:00
ACC2A277B2D,Canara,prepaid,880,Pune,Maharashtra,P03,clean,0.0,2024-04-04T08:00:00
ACC3D6EDF53,ICICI,prepaid,1158,Mumbai,Maharashtra,M04,clean,0.0,2023-07-01T08:00:00
ACCB545009F,ICICI,savings,1070,Mumbai,Maharashtra,M05,clean,0.0,2023-09-27T08:00:00
ACCC46736DF,Union,current,726,Pune,Maharashtra,P04,clean,0.0,2024-09-05T08:00:00
ACCFE7218D4,PNB,prepaid,1516,Ahmedabad,Gujarat,A03,clean,0.0,2022-07-08T08:00:00
ACCA79384A4,Canara,current,1133,Vadodara,Gujarat,V02,clean,0.0,2023-07-26T08:00:00
ACC8D0BFB5B,Kotak,savings,962,Delhi,Delhi,D04,clean,0.0,2024-01-13T08:00:00
ACC83C0FFA1,Axis,prepaid,814,Mumbai,Maharashtra,M05,clean,0.0,2024-06-09T08:00:00
ACC0F3C9DF9,Canara,prepaid,1555,Ahmedabad,Gujarat,A03,clean,0.0,2022-05-30T08:00:00
ACCE3383F1A,SBI,savings,1044,Bengaluru,Karnataka,B02,clean,0.0,2023-10-23T08:00:00
ACCCFE86FFA,Canara,savings,1820,Delhi,Delhi,D01,clean,0.0,2021-09-07T08:00:00
ACC5E8FC7E4,ICICI,prepaid,1509,Hyderabad,Telangana,H01,clean,0.0,2022-07-15T08:00:00
ACC6D5BF41A,PNB,current,991,Vadodara,Gujarat,V01,clean,0.0,2023-12-15T08:00:00
ACCE99FD8B8,Kotak,prepaid,1774,Bengaluru,Karnataka,B01,clean,0.0,2021-10-23T08:00:00
ACC4A36E0B7,Union,savings,1816,Delhi,Delhi,D04,clean,0.0,2021-09-11T08:00:00
ACCFE826057,PNB,savings,1322,Surat,Gujarat,S01,clean,0.0,2023-01-18T08:00:00
ACC6B5569C8,HDFC,prepaid,231,Surat,Gujarat,S02,clean,0.0,2026-01-13T08:00:00
ACC5591A6B0,SBI,savings,643,Vadodara,Gujarat,V03,clean,0.0,2024-11-27T08:00:00
ACC1C88E209,Kotak,current,630,Delhi,Delhi,D01,clean,0.0,2024-12-10T08:00:00
ACC038B3090,Union,prepaid,530,Bengaluru,Karnataka,B02,clean,0.0,2025-03-20T08:00:00
ACC78EC224A,HDFC,prepaid,388,Vadodara,Gujarat,V01,clean,0.0,2025-08-09T08:00:00
ACC8378B21A,Yes Bank,savings,1899,Mumbai,Maharashtra,M04,clean,0.0,2021-06-20T08:00:00
ACC4FBFBEFC,PNB,prepaid,1336,Mumbai,Maharashtra,M04,clean,0.0,2023-01-04T08:00:00
ACCDCAD807A,Canara,current,1870,Pune,Maharashtra,P01,clean,0.0,2021-07-19T08:00:00
ACCD25E732D,Kotak,current,934,Vadodara,Gujarat,V01,clean,0.0,2024-02-10T08:00:00
ACC5F3C2049,PNB,savings,965,Bengaluru,Karnataka,B03,clean,0.0,2024-01-10T08:00:00
ACC674F2C98,Axis,prepaid,248,Bengaluru,Karnataka,B04,clean,0.0,2025-12-27T08:00:00
ACC1A3F0A9C,PNB,savings,1462,Delhi,Delhi,D03,clean,0.0,2022-08-31T08:00:00
ACCF0667C12,Yes Bank,savings,46,Bengaluru,Karnataka,B03,clean,0.0,2026-07-17T08:00:00
ACC854F8AE0,Axis,current,1618,Hyderabad,Telangana,H02,clean,0.0,2022-03-28T08:00:00
ACCA72B036E,Yes Bank,current,419,Mumbai,Maharashtra,M06,clean,0.0,2025-07-09T08:00:00
ACC2D06AE5B,SBI,current,228,Vadodara,Gujarat,V03,clean,0.0,2026-01-16T08:00:00
ACC5B21960E,Kotak,savings,1216,Hyderabad,Telangana,H01,clean,0.0,2023-05-04T08:00:00
ACC280E16AA,BOB,savings,699,Surat,Gujarat,S02,clean,0.0,2024-10-02T08:00:00
ACC0BD3D771,Union,current,1640,Mumbai,Maharashtra,M02,clean,0.0,2022-03-06T08:00:00
ACC5F9F7BF0,Canara,current,556,Pune,Maharashtra,P02,clean,0.0,2025-02-22T08:00:00
ACC034BA052,HDFC,savings,989,Delhi,Delhi,D01,clean,0.0,2023-12-17T08:00:00
ACCF99EC111,BOB,current,1415,Mumbai,Maharashtra,M07,clean,0.0,2022-10-17T08:00:00
ACC250744A8,PNB,savings,58,Surat,Gujarat,S02,clean,0.0,2026-07-05T08:00:00
ACCEEFC83FB,PNB,prepaid,1407,Hyderabad,Telangana,H02,clean,0.0,2022-10-25T08:00:00
ACC66AF2CB3,Axis,prepaid,1412,Delhi,Delhi,D01,clean,0.0,2022-10-20T08:00:00
ACC9B86A0A7,Union,current,1840,Ahmedabad,Gujarat,A05,clean,0.0,2021-08-18T08:00:00
ACCE87CB953,Canara,current,159,Mumbai,Maharashtra,M06,clean,0.0,2026-03-26T08:00:00
ACC251299E4,SBI,savings,316,Bengaluru,Karnataka,B01,clean,0.0,2025-10-20T08:00:00
ACCEC0BFC3C,HDFC,savings,267,Pune,Maharashtra,P04,clean,0.0,2025-12-08T08:00:00
ACCBD0EE397,Kotak,prepaid,959,Vadodara,Gujarat,V02,clean,0.0,2024-01-16T08:00:00
ACC22162E85,HDFC,prepaid,1371,Vadodara,Gujarat,V02,clean,0.0,2022-11-30T08:00:00
ACC55F094A8,Kotak,savings,97,Bengaluru,Karnataka,B03,clean,0.0,2026-05-27T08:00:00
ACC711D9F55,Axis,current,1976,Hyderabad,Telangana,H02,clean,0.0,2021-04-04T08:00:00
ACC804353CB,Union,current,782,Surat,Gujarat,S03,clean,0.0,2024-07-11T08:00:00
ACC096B8812,Axis,savings,595,Ahmedabad,Gujarat,A04,clean,0.0,2025-01-14T08:00:00
ACCD29018B8,Axis,savings,1387,Hyderabad,Telangana,H01,clean,0.0,2022-11-14T08:00:00
ACC5A3B1A8D,ICICI,savings,528,Ahmedabad,Gujarat,A03,clean,0.0,2025-03-22T08:00:00
ACC23D1D343,Yes Bank,savings,454,Surat,Gujarat,S03,clean,0.0,2025-06-04T08:00:00
ACC2782865E,ICICI,savings,1615,Mumbai,Maharashtra,M03,clean,0.0,2022-03-31T08:00:00
ACC98EC434C,Union,current,296,Pune,Maharashtra,P02,clean,0.0,2025-11-09T08:00:00
ACCD78A8C3F,SBI,savings,1383,Vadodara,Gujarat,V01,clean,0.0,2022-11-18T08:00:00
ACC984A010C,Axis,current,1647,Ahmedabad,Gujarat,A03,clean,0.0,2022-02-27T08:00:00
ACC18D90A4C,SBI,savings,573,Ahmedabad,Gujarat,A02,clean,0.0,2025-02-05T08:00:00
ACC0F557652,HDFC,prepaid,1557,Bengaluru,Karnataka,B01,clean,0.0,2022-05-28T08:00:00
ACCBDB9D824,Yes Bank,savings,1081,Hyderabad,Telangana,H02,clean,0.0,2023-09-16T08:00:00
ACC3C60E7EA,Yes Bank,savings,483,Hyderabad,Telangana,H03,clean,0.0,2025-05-06T08:00:00
ACC45753EAA,SBI,savings,1347,Pune,Maharashtra,P04,clean,0.0,2022-12-24T08:00:00
ACC159A3D23,HDFC,prepaid,903,Hyderabad,Telangana,H02,clean,0.0,2024-03-12T08:00:00
ACC19AB0D53,HDFC,current,1871,Hyderabad,Telangana,H01,clean,0.0,2021-07-18T08:00:00
ACCD333568B,PNB,current,288,Vadodara,Gujarat,V01,clean,0.0,2025-11-17T08:00:00
ACC6C0319A9,Union,prepaid,959,Bengaluru,Karnataka,B03,clean,0.0,2024-01-16T08:00:00
ACC79CC6F34,Union,savings,264,Surat,Gujarat,S03,clean,0.0,2025-12-11T08:00:00
ACCA6B1C903,Axis,prepaid,1848,Bengaluru,Karnataka,B04,clean,0.0,2021-08-10T08:00:00
ACCA1652F44,BOB,savings,846,Delhi,Delhi,D04,clean,0.0,2024-05-08T08:00:00
ACC0B86940C,PNB,current,670,Delhi,Delhi,D04,clean,0.0,2024-10-31T08:00:00
ACC6ACFB952,Canara,savings,1920,Vadodara,Gujarat,V03,clean,0.0,2021-05-30T08:00:00
ACC3D892131,BOB,savings,220,Surat,Gujarat,S01,clean,0.0,2026-01-24T08:00:00
ACCE87724DD,SBI,current,1169,Delhi,Delhi,D02,clean,0.0,2023-06-20T08:00:00
ACC6CDC3F7B,BOB,savings,754,Surat,Gujarat,S02,clean,0.0,2024-08-08T08:00:00
ACCEAC20530,HDFC,savings,750,Pune,Maharashtra,P03,clean,0.0,2024-08-12T08:00:00
ACC706F6DA8,Axis,savings,1017,Vadodara,Gujarat,V03,clean,0.0,2023-11-19T08:00:00
ACC82E6100C,PNB,savings,265,Delhi,Delhi,D03,clean,0.0,2025-12-10T08:00:00
ACC527F02F0,PNB,savings,1277,Bengaluru,Karnataka,B01,clean,0.0,2023-03-04T08:00:00
ACCEDE6B9DE,PNB,current,1469,Vadodara,Gujarat,V02,clean,0.0,2022-08-24T08:00:00
ACC341241A9,ICICI,prepaid,401,Delhi,Delhi,D01,clean,0.0,2025-07-27T08:00:00
ACCEBA2AFC8,SBI,savings,1547,Surat,Gujarat,S01,clean,0.0,2022-06-07T08:00:00
ACCC0F2B549,Canara,current,889,Mumbai,Maharashtra,M04,clean,0.0,2024-03-26T08:00:00
ACCD8AAF0BE,Kotak,savings,668,Vadodara,Gujarat,V02,clean,0.0,2024-11-02T08:00:00
ACC86ABAA05,Yes Bank,savings,352,Ahmedabad,Gujarat,A02,clean,0.0,2025-09-14T08:00:00
ACC472F7614,BOB,prepaid,937,Surat,Gujarat,S02,clean,0.0,2024-02-07T08:00:00
ACCDED2F765,Axis,savings,589,Hyderabad,Telangana,H02,clean,0.0,2025-01-20T08:00:00
ACC4D2AF953,PNB,prepaid,257,Delhi,Delhi,D04,clean,0.0,2025-12-18T08:00:00
ACCAC8EE690,BOB,savings,481,Pune,Maharashtra,P01,clean,0.0,2025-05-08T08:00:00
ACC29908B37,Axis,savings,647,Ahmedabad,Gujarat,A02,clean,0.0,2024-11-23T08:00:00
