complaint_id,timestamp,crime_type,amount,victim_id,victim_location_id,victim_bank,status,scenario_tag
CMP1F3011C8,2026-09-03T18:42:14.815499,KYC Fraud,115122.34,VICE1B0806C,A01,Union,open,SCN2D412D48
CMP69A514E5,2026-09-03T11:56:39.517908,UPI Fraud,63325.43,VIC0D276F75,P01,PNB,open,SCNBF4F90F5
CMPB8249484,2026-09-03T15:29:49.004113,Investment Scam,15296.76,VICFA66A4FE,D02,HDFC,open,SCN26B735EA
CMPD7C90854,2026-09-03T16:27:49.004113,UPI Fraud,15296.76,VICE7E97ECC,D04,Yes Bank,open,SCN26B735EA
CMPBA547D62,2026-09-03T17:10:49.004113,UPI Fraud,15296.76,VIC5F69B9EA,D02,Axis,open,SCN26B735EA
CMPF4BE00D4,2026-09-03T17:12:49.004113,KYC Fraud,15296.76,VIC49447A54,D03,Kotak,open,SCN26B735EA
CMP6C96012B,2026-09-04T04:27:33.795777,Loan Fraud,146273.65,VIC4D3CA2D6,A01,Canara,open,SCN84533571
CMP16551C64,2026-09-04T03:40:25.182883,Job Scam,56007.38,VIC4D13F468,B01,Axis,open,SCN1E1944A6
CMPE2074E69,2026-09-04T06:37:43.533260,Loan Fraud,42124.22,VICAB664879,H01,ICICI,open,SCNE14CD5C5
CMPA63886C0,2026-09-04T12:17:33.241167,KYC Fraud,114274.9,VICA93372D8,A04,SBI,open,SCNCD62F610
CMP0C60D4FD,2026-09-04T18:59:34.396777,OTP Fraud,18235.44,VIC38DF019A,P04,Union,open,SCN9CC762E8
CMP40A254E1,2026-09-04T19:23:34.396777,Loan Fraud,18235.44,VICDAFDAFB3,P02,HDFC,open,SCN9CC762E8
CMPC04FC4AA,2026-09-04T20:10:34.396777,KYC Fraud,18235.44,VICA5EA8F05,P03,HDFC,open,SCN9CC762E8
CMP87FD721A,2026-09-04T12:44:42.941726,UPI Fraud,66146.91,VIC8841BD05,M01,PNB,open,SCN58897248
CMP39EB52B3,2026-09-04T14:08:03.359960,KYC Fraud,28059.25,VIC424B6628,V03,BOB,open,SCN959F0E18
CMP3E92DDAD,2026-09-04T14:13:03.359960,Loan Fraud,28059.25,VICAD2489B5,V03,SBI,open,SCN959F0E18
CMP275F5B0E,2026-09-04T14:56:03.359960,Job Scam,28059.25,VIC6BEEB5F3,V01,PNB,open,SCN959F0E18
CMPEC8AEE92,2026-09-04T14:59:03.359960,UPI Fraud,28059.25,VICC3E2A32A,V02,Canara,open,SCN959F0E18
CMPDAAF5A56,2026-09-05T08:38:13.482236,OTP Fraud,31087.1,VIC89B68205,B03,Kotak,open,SCN8A0575F7
CMP86D95FFC,2026-09-05T03:50:06.507353,Investment Scam,80973.75,VIC58341B74,B03,Axis,open,SCN197AB5B8
CMPB49002B6,2026-09-05T16:09:05.821781,OTP Fraud,39177.75,VIC7BE41279,D02,BOB,open,SCN58296237
CMPAA3E62A4,2026-09-05T05:11:57.338767,KYC Fraud,14638.86,VICDF06A775,V02,HDFC,open,SCNE7F6CC1E
CMP6D268A7F,2026-09-05T05:49:38.914048,Lottery Fraud,88069.32,VICCCF0B84C,S01,Union,open,SCNC86E61F3
CMP05107C6B,2026-09-05T13:21:15.843337,Loan Fraud,86045.25,VICCD64D916,V03,BOB,open,SCN84B3465C
CMP39580B50,2026-09-05T12:13:39.895753,Loan Fraud,91831.57,VIC1D752900,D02,SBI,open,SCN57590358
CMP408CB737,2026-09-05T18:33:17.605207,Investment Scam,75986.82,VIC4A78BE2E,S01,SBI,open,SCN94C53003
CMPBC49CFDC,2026-09-06T09:48:31.516394,KYC Fraud,91413.12,VIC668895B0,S02,Kotak,open,SCN1430A9F8
CMP6DE39B8D,2026-09-05T23:54:14.982700,Investment Scam,99169.66,VIC358F9AA8,S03,SBI,open,SCN54F032F5
CMP6A541FA4,2026-09-06T02:39:07.954633,UPI Fraud,71676.98,VICC3F56A54,H03,HDFC,open,SCNB68A9047
CMPF5B6F806,2026-09-06T13:38:55.769732,Lottery Fraud,50807.38,VIC5923F4E9,D01,PNB,open,SCN4B4B79CC
CMP6C3B96F4,2026-09-06T15:40:17.062579,Investment Scam,23418.32,VICD7A8381E,S01,HDFC,open,SCNB38640F6
CMP80A2F66B,2026-09-06T15:41:17.062579,Investment Scam,23418.32,VIC32C5D45F,S03,Axis,open,SCNB38640F6
CMP142B23DF,2026-09-06T16:19:17.062579,UPI Fraud,23418.32,VICF66F9929,S02,Axis,open,SCNB38640F6
CMP88283AA1,2026-09-06T17:28:17.062579,Loan Fraud,23418.32,VIC0969F3A4,S03,ICICI,open,SCNB38640F6
CMPADD32E95,2026-09-06T18:21:17.062579,KYC Fraud,23418.32,VICBC9F65DF,S01,BOB,open,SCNB38640F6
CMPD26BB0D5,2026-09-06T10:51:06.480161,Investment Scam,67161.98,VIC0CDFF686,H03,HDFC,open,SCN8A5E36BA
CMPD9BAC410,2026-09-06T12:57:58.447527,KYC Fraud,93547.53,VIC7F07DA2D,A01,SBI,open,SCNC2EF5193
CMP4705EED2,2026-09-06T21:33:53.290980,Job Scam,51372.69,VIC6DD6FB74,H02,HDFC,open,SCN553FBA34
CMPD6B3C960,2026-09-06T14:12:12.466039,Loan Fraud,28750.88,VICDA041115,M06,PNB,open,SCNDFAD7C85
CMP5130D50E,2026-09-07T13:26:45.104527,Investment Scam,58919.47,VICE5262319,P03,PNB,open,SCN956F282A
CMPA7892D92,2026-09-07T04:23:37.997162,Lottery Fraud,33708.56,VICEC5CC731,A02,HDFC,open,SCN3EE48FDB
CMP5F0B481E,2026-09-07T18:48:00.345767,UPI Fraud,58945.98,VIC9E3C6DF5,V02,SBI,open,SCNA23AB12D
CMP480199BC,2026-09-07T03:59:52.947320,Investment Scam,27510.91,VIC6A03F645,V03,Union,open,SCNA355327D
CMP28FA8830,2026-09-07T17:57:26.793089,KYC Fraud,50796.24,VIC4FABB4F4,A02,Axis,open,SCNF657CA10
CMP14D5E1FC,2026-09-07T21:00:15.015643,Lottery Fraud,49331.6,VIC239A2DEC,P02,Yes Bank,open,SCN5515DBD8
CMP208B2E6F,2026-09-07T13:17:35.454663,UPI Fraud,99032.15,VICA485A0A4,P01,PNB,open,SCN86B8A3F4
CMP8505EDC8,2026-09-08T03:24:32.927685,UPI Fraud,59664.73,VIC2F077EF4,A05,Canara,open,SCNA0002A03
CMPA04912CB,2026-09-07T21:47:25.274926,UPI Fraud,43155.92,VIC7D5A2BDB,H02,PNB,open,SCN1BD4D4C8
CMP83E2B0A6,2026-09-08T04:41:18.916653,Job Scam,75157.63,VIC2A075FE3,P01,Kotak,open,SCN6917C1D3
CMPD69AC841,2026-09-08T05:30:00.490393,Loan Fraud,34774.71,VIC8AA4550A,P04,Canara,open,SCNEAE4F55C
CMPF296265D,2026-09-08T05:04:31.090268,KYC Fraud,46408.16,VIC69BFFA80,V01,SBI,open,SCND9BDEBC5
CMP36E04403,2026-09-08T12:10:23.463450,Job Scam,75315.47,VIC3BA7DF4B,V02,Canara,open,SCN72B77C31
CMPAC11219A,2026-09-08T18:37:24.633796,KYC Fraud,38518.5,VIC6BC9DF04,M03,Yes Bank,open,SCNA3D249AB
CMP79C2D922,2026-09-08T17:45:52.342784,UPI Fraud,34935.61,VICA8F0B2B3,S02,SBI,open,SCN20E689EE
CMP991FCA83,2026-09-08T19:48:40.684833,Lottery Fraud,73305.14,VICFA92C4A4,P04,PNB,open,SCN52AC93CB
CMPD59A1FF9,2026-09-09T06:27:46.629270,UPI Fraud,103491.92,VICA0A84DB3,A02,PNB,open,SCNBB2F8BDD
CMP920A92FC,2026-09-09T16:42:02.488094,OTP Fraud,74125.04,VIC4A2D2440,A01,Axis,open,SCN69CB2441
CMP8E3A339F,2026-09-09T18:27:10.092635,Investment Scam,115576.06,VICFC8B54AB,A02,Union,open,SCN80E418A1
CMP5A0F6A92,2026-09-09T16:39:00.619619,UPI Fraud,57652.25,VIC32382A95,H02,PNB,open,SCN62EB991D
CMP70E9DACE,2026-09-09T13:24:35.753991,KYC Fraud,56933.81,VICDFFEFDC6,A04,Union,open,SCN3E47A740
CMP36F57513,2026-09-10T02:07:13.014681,KYC Fraud,40172.71,VIC1D9AC7F2,H01,SBI,open,SCN129ECE9E
CMP1A625B35,2026-09-10T02:33:13.014681,OTP Fraud,40172.71,VIC65E3FB2A,H02,Yes Bank,open,SCN129ECE9E
CMP2E186361,2026-09-10T02:48:13.014681,Investment Scam,40172.71,VICD05B09C8,H03,SBI,open,SCN129ECE9E
CMP2CC33974,2026-09-10T02:40:13.014681,Loan Fraud,40172.71,VICE85B65F8,H02,SBI,open,SCN129ECE9E
CMP2897E81E,2026-09-10T04:15:13.014681,KYC Fraud,40172.71,VIC323D7503,H02,SBI,open,SCN129ECE9E
CMP39172FA1,2026-09-09T14:51:16.928546,UPI Fraud,37911.03,VICF5C30130,A01,PNB,open,SCN3DB7FAAC
CMP537A95E5,2026-09-09T14:50:16.928546,Lottery Fraud,37911.03,VICDCF20FCB,A01,Union,open,SCN3DB7FAAC
CMP11639477,2026-09-09T15:32:16.928546,OTP Fraud,37911.03,VIC66BCB17D,A04,HDFC,open,SCN3DB7FAAC
CMP3AAFCE60,2026-09-09T15:21:31.961545,Lottery Fraud,31787.47,VIC0644C4BD,V03,Union,open,SCN35E3BFEB
CMP504B733E,2026-09-10T02:46:13.253809,Loan Fraud,62301.93,VIC136C24F5,A03,Axis,open,SCN0E3D0C6B
CMPE598E557,2026-09-10T06:51:01.867538,Loan Fraud,105915.57,VIC3723C117,A04,SBI,open,SCN59658012
CMP3B29B75F,2026-09-10T11:21:46.416154,Job Scam,23619.02,VIC6C549066,S02,Canara,open,SCN99516084
CMP1A19746A,2026-09-10T16:53:41.310559,OTP Fraud,68452.43,VICC469B13F,S02,HDFC,open,SCNCFCC0F59
CMPD2F699E9,2026-09-10T10:56:37.092000,OTP Fraud,21181.67,VICF910D367,H03,HDFC,open,SCN0960908C
CMP2A186DCB,2026-09-10T14:15:12.301624,KYC Fraud,33231.29,VIC33794A0B,B03,HDFC,open,SCNF9920FA3
CMPA336FC42,2026-09-10T14:42:12.301624,Job Scam,33231.29,VIC8094E52E,B03,ICICI,open,SCNF9920FA3
CMP42F26EA3,2026-09-10T15:22:12.301624,Job Scam,33231.29,VIC1EA17091,B04,HDFC,open,SCNF9920FA3
CMPB07F903A,2026-09-10T15:22:12.301624,OTP Fraud,33231.29,VIC664BE8F5,B02,Axis,open,SCNF9920FA3
CMP15BF5C4D,2026-09-10T22:33:17.075614,OTP Fraud,55025.64,VICD0AE6725,A03,Yes Bank,open,SCN861DF698
CMPBFD42DA7,2026-09-10T22:19:05.657432,KYC Fraud,122841.81,VICCADB9BCC,S02,Axis,open,SCNE3CAC2B3
CMP35FE36B0,2026-09-10T23:54:12.766768,OTP Fraud,45646.77,VIC49D9F409,B01,BOB,open,SCNDCC271C9
CMP13D7C225,2026-09-11T00:09:12.766768,Job Scam,45646.77,VICD69CB149,B03,Union,open,SCNDCC271C9
CMPB4B58780,2026-09-11T00:50:12.766768,Investment Scam,45646.77,VICE08A0B22,B03,BOB,open,SCNDCC271C9
CMP373ACC87,2026-09-11T00:53:12.766768,Loan Fraud,45646.77,VIC0E6E443F,B01,Union,open,SCNDCC271C9
CMPD3103807,2026-09-11T00:57:12.766768,Investment Scam,45646.77,VICEEC76CC9,B02,SBI,open,SCNDCC271C9
CMP714E20B0,2026-09-11T14:43:46.168652,KYC Fraud,57350.77,VIC6298A76D,S02,Kotak,open,SCN5F06420A
CMPC994120F,2026-09-11T05:34:29.183079,KYC Fraud,21112.65,VIC1BB58D42,S02,PNB,open,SCN8F547E26
CMPD5E05543,2026-09-11T09:10:55.354191,UPI Fraud,127161.69,VICA6D71D59,A02,Axis,open,SCN7063EF34
CMPF04DDE53,2026-09-11T11:56:12.332952,Loan Fraud,91731.73,VIC5FA77AB7,A04,HDFC,open,SCN0293F9EC
CMP04AF2756,2026-09-11T21:46:15.891534,Lottery Fraud,46982.11,VIC31C9BE8D,A03,Union,open,SCN92D977E7
CMPA585E5E1,2026-09-11T16:48:29.804273,UPI Fraud,25701.26,VIC799DCE59,B02,PNB,open,SCN68460353
CMPFB9E9979,2026-09-11T18:01:29.804273,Investment Scam,25701.26,VIC5D3B5D0F,B03,Yes Bank,open,SCN68460353
CMPD13D3206,2026-09-11T17:52:29.804273,OTP Fraud,25701.26,VICE199C33D,B02,ICICI,open,SCN68460353
CMPAAAB2DD1,2026-09-11T18:08:29.804273,UPI Fraud,25701.26,VIC42292924,B04,Canara,open,SCN68460353
CMPC248AC3F,2026-09-11T19:39:29.804273,KYC Fraud,25701.26,VICA5D87D44,B04,Kotak,open,SCN68460353
CMP039D9EFC,2026-09-12T04:24:26.466129,UPI Fraud,44149.93,VICC4635B98,B04,Kotak,open,SCNDC781FE3
CMPD9A1D0FF,2026-09-12T05:35:25.565381,Investment Scam,41293.02,VIC03774C4D,A01,Yes Bank,open,SCN9C28AF8F
CMPD7E8EC90,2026-09-12T05:15:03.216446,Lottery Fraud,30361.15,VICF0777725,A05,SBI,open,SCN722D256F
CMP68A972CA,2026-09-12T00:55:56.752850,Lottery Fraud,129005.71,VICE08C6159,A01,ICICI,open,SCND817CB83
CMP8582506C,2026-09-12T06:46:01.861345,Job Scam,26501.99,VICFB5260EA,D02,ICICI,open,SCN4EDDFAC8
CMPCE00A053,2026-09-12T11:21:21.558525,Investment Scam,98342.26,VIC3190256D,M03,HDFC,open,SCN87D16BA2
CMP3B071CB8,2026-09-12T16:35:49.009793,Job Scam,54708.27,VICEF199FC7,M02,Kotak,open,SCNC9BB24CD
CMP511D9D9A,2026-09-12T23:08:11.094813,Job Scam,97652.33,VIC45355B70,A01,Kotak,open,SCN705D93D1
CMP6C14621A,2026-09-13T06:09:48.455358,Loan Fraud,80518.32,VICE20BCAC0,A04,Yes Bank,open,SCNEC60C886
CMP4C289E2C,2026-09-12T21:19:29.270562,Job Scam,17813.13,VIC44448B52,V03,Kotak,open,SCN32E7C87A
CMP6ADB18C4,2026-09-12T22:25:29.270562,KYC Fraud,17813.13,VICF2EA6003,V03,Axis,open,SCN32E7C87A
CMPCDF6A30F,2026-09-12T22:44:29.270562,Loan Fraud,17813.13,VIC534FF5F2,V01,Kotak,open,SCN32E7C87A
CMP0C3135D3,2026-09-12T23:05:29.270562,Lottery Fraud,17813.13,VICA3322CE2,V02,Canara,open,SCN32E7C87A
CMPDD0A80DF,2026-09-13T01:06:28.728773,Investment Scam,28442.33,VICCDDF1667,B01,PNB,open,SCN7423D3B8
CMP20027F7B,2026-09-13T01:08:28.728773,KYC Fraud,28442.33,VICA519B2FF,B01,BOB,open,SCN7423D3B8
CMP7C329BE7,2026-09-13T01:21:28.728773,Job Scam,28442.33,VIC38D4D81F,B04,BOB,open,SCN7423D3B8
CMPB8100067,2026-09-13T02:51:28.728773,Lottery Fraud,28442.33,VICD14AE39F,B03,Canara,open,SCN7423D3B8
CMP86BD849A,2026-09-13T14:21:09.271191,Investment Scam,31266.71,VIC4448242B,H02,PNB,open,SCN87651F2A
CMP4107CA2C,2026-09-13T14:17:09.271191,Lottery Fraud,31266.71,VICB36216DE,H02,BOB,open,SCN87651F2A
CMPBD4F4434,2026-09-13T14:41:09.271191,Lottery Fraud,31266.71,VICA290A516,H03,BOB,open,SCN87651F2A
CMP79DD2628,2026-09-13T13:37:52.916074,Lottery Fraud,28047.84,VICE7F366F4,A03,BOB,open,SCN581CF1DB
CMP03B388D4,2026-09-13T14:54:52.916074,Job Scam,28047.84,VIC688CFE85,A04,HDFC,open,SCN581CF1DB
CMP788C37A6,2026-09-13T14:55:52.916074,Job Scam,28047.84,VICF9106B45,A05,Canara,open,SCN581CF1DB
CMPE7B928F1,2026-09-13T15:47:52.916074,Investment Scam,28047.84,VICFBE5EDBC,A05,BOB,open,SCN581CF1DB
CMPC23591C0,2026-09-13T07:57:34.634211,Job Scam,56978.97,VIC6397F20D,A01,Yes Bank,open,SCN9A66AF58
CMPC8F156FB,2026-09-13T12:38:03.686529,Investment Scam,41050.27,VIC75FA67A7,D04,SBI,open,SCNC490C64E
CMP7D42A707,2026-09-14T02:31:51.745361,OTP Fraud,94482.34,VIC1070551A,M07,HDFC,open,SCN9D2E3AD2
CMP1DB91CD0,2026-09-14T00:41:45.936221,KYC Fraud,72248.11,VICA18FA320,B03,Canara,open,SCN41AD4141
CMP28B18FFF,2026-09-14T05:32:11.363668,Lottery Fraud,21610.62,VICE6FEDB5D,B01,Kotak,open,SCN175B8C0F
CMP6FA76F35,2026-09-14T05:48:11.363668,Investment Scam,21610.62,VICAE4E4ABC,B04,Union,open,SCN175B8C0F
CMP9A698A01,2026-09-14T06:25:11.363668,Job Scam,21610.62,VIC1EC43F91,B04,Axis,open,SCN175B8C0F
CMP70BE7D3D,2026-09-14T06:54:11.363668,OTP Fraud,21610.62,VIC1883F25D,B02,Yes Bank,open,SCN175B8C0F
CMP8A770D8E,2026-09-14T16:49:38.487613,Investment Scam,82643.42,VICEFF892EF,B01,Yes Bank,open,SCNDDBFD801
CMP01952CC7,2026-09-14T08:27:18.374720,OTP Fraud,44886.82,VICDA6C314E,A01,ICICI,open,SCN333DA88D
CMP905C0A96,2026-09-14T09:07:59.716593,KYC Fraud,74372.62,VIC01781D11,V03,PNB,open,SCN99C050D3
CMPBBD99107,2026-09-14T13:26:00.813530,Job Scam,58620.17,VICAAFBC4BD,V03,Kotak,open,SCN10F67046
CMP5E27B2CC,2026-09-14T09:36:42.186925,OTP Fraud,25465.41,VICBB1A2923,M05,HDFC,open,SCN67319F7F
CMPAF3EE2E5,2026-09-14T19:00:16.343857,Lottery Fraud,18459.4,VIC8D4BCE9C,A01,SBI,open,SCN3F5885A3
CMP73EC7D02,2026-09-14T19:53:16.343857,Investment Scam,18459.4,VICA3078977,A02,Axis,open,SCN3F5885A3
CMPAD829294,2026-09-14T19:17:16.343857,Lottery Fraud,18459.4,VIC89A387D4,A01,ICICI,open,SCN3F5885A3
CMPCD50C2A5,2026-09-14T21:00:16.343857,Lottery Fraud,18459.4,VICFFBE9A4B,A04,HDFC,open,SCN3F5885A3
CMP9A481601,2026-09-14T20:27:16.343857,UPI Fraud,18459.4,VICA157A73A,A02,HDFC,open,SCN3F5885A3
CMPACA72DB2,2026-09-15T02:45:37.498550,Investment Scam,26502.38,VIC634C15B5,H02,PNB,open,SCNBC37FFA2
CMP93071231,2026-09-15T02:46:37.498550,KYC Fraud,26502.38,VIC113CD94B,H02,Canara,open,SCNBC37FFA2
CMPB683C29E,2026-09-15T04:07:37.498550,UPI Fraud,26502.38,VIC02966961,H03,Union,open,SCNBC37FFA2
CMP65D0B2C2,2026-09-15T08:44:40.611525,Job Scam,41056.02,VICBEE28DE7,V03,Canara,open,SCNC20E1CA7
CMPDF7C122B,2026-09-14T21:35:22.134623,OTP Fraud,60518.6,VICF0D28CB3,B01,Axis,open,SCNC88F731A
CMP3041A9A4,2026-09-15T15:51:58.172415,KYC Fraud,104106.7,VIC37B7995D,A01,Axis,open,SCN47DCA796
CMP89E07FAA,2026-09-15T10:59:54.806245,Loan Fraud,41697.55,VICA0CFA756,D03,Kotak,open,SCN4DCD6C15
CMP3522E5E4,2026-09-15T11:46:54.806245,KYC Fraud,41697.55,VIC67EE54FD,D03,Axis,open,SCN4DCD6C15
CMP51E0BF8A,2026-09-15T12:18:54.806245,Job Scam,41697.55,VICD3967F26,D04,SBI,open,SCN4DCD6C15
CMP88550CAF,2026-09-15T13:42:54.806245,UPI Fraud,41697.55,VICDC299DCD,D04,PNB,open,SCN4DCD6C15
CMP710FAC3B,2026-09-15T12:38:54.806245,Lottery Fraud,41697.55,VIC25659AE5,D02,Union,open,SCN4DCD6C15
CMPF2CE7F75,2026-09-15T11:57:46.299777,Investment Scam,52117.29,VICAA545B00,B04,SBI,open,SCN76318FDE
CMP28D03C5F,2026-09-15T23:34:54.803629,OTP Fraud,20341.17,VIC47FA1455,D01,ICICI,open,SCN00CDF8BC
CMP09D2FECE,2026-09-16T00:06:54.803629,Job Scam,20341.17,VICF5B83A12,D02,BOB,open,SCN00CDF8BC
CMPAD17BD9E,2026-09-16T01:27:54.803629,OTP Fraud,20341.17,VIC4D4B8C09,D04,SBI,open,SCN00CDF8BC
CMP00C28DBA,2026-09-16T01:25:54.803629,KYC Fraud,20341.17,VIC0722FD8C,D02,BOB,open,SCN00CDF8BC
CMP5D193023,2026-09-16T02:22:54.803629,OTP Fraud,20341.17,VICC35C9BD8,D04,Yes Bank,open,SCN00CDF8BC
CMP2B27B3B0,2026-09-15T19:14:22.201053,Investment Scam,48831.4,VICFBB7C411,S03,PNB,open,SCNC9C5B7CD
CMPC23D2BB7,2026-09-15T18:11:49.803767,Lottery Fraud,31112.87,VICFE862F1A,A04,SBI,open,SCNC2513A9D
CMP675DF817,2026-09-15T18:19:47.960404,Investment Scam,40288.3,VIC729DDB32,B04,HDFC,open,SCN9557D7FC
CMP5E10B9BE,2026-09-15T19:25:47.960404,OTP Fraud,40288.3,VIC75A50285,B01,PNB,open,SCN9557D7FC
CMP22106E5B,2026-09-15T19:32:47.960404,Job Scam,40288.3,VICEA9579A5,B01,Canara,open,SCN9557D7FC
CMP47F3EE40,2026-09-15T19:11:47.960404,Lottery Fraud,40288.3,VIC01B4B66C,B01,HDFC,open,SCN9557D7FC
CMPC12BB487,2026-09-15T20:11:47.960404,Investment Scam,40288.3,VICBE69E3EF,B03,Kotak,open,SCN9557D7FC
CMP05EFBAC4,2026-09-15T23:11:32.721552,OTP Fraud,51768.95,VICB71D77B4,A03,SBI,open,SCN8BBFB558
CMP93756F97,2026-09-16T01:52:22.977253,Lottery Fraud,42773.03,VIC818B2ECA,P02,PNB,open,SCN638AF3AD
CMPCBF99B1E,2026-09-16T05:16:33.546263,Lottery Fraud,49891.07,VIC0FE2420E,D02,BOB,open,SCN24635CF3
CMP7124E8ED,2026-09-16T06:39:23.655918,Job Scam,36972.86,VICB2F216EE,D03,ICICI,open,SCNF8AA36B5
CMPB3263FE8,2026-09-16T13:21:35.705353,OTP Fraud,36459.1,VIC20FE86C0,P04,ICICI,open,SCNAA9D8B45
CMP1FDB7981,2026-09-16T13:50:35.705353,UPI Fraud,36459.1,VIC1F3AED36,P04,HDFC,open,SCNAA9D8B45
CMP3D311430,2026-09-16T14:01:35.705353,Loan Fraud,36459.1,VIC2A279767,P01,Union,open,SCNAA9D8B45
CMP4B948F66,2026-09-16T15:27:35.705353,OTP Fraud,36459.1,VIC8665578A,P01,Union,open,SCNAA9D8B45
CMP383BA2BC,2026-09-16T16:13:35.705353,Investment Scam,36459.1,VIC4B78B475,P03,HDFC,open,SCNAA9D8B45
CMPA3FFE717,2026-09-16T13:02:58.981503,Loan Fraud,42622.81,VICE6C7527E,A03,Union,open,SCN1CD45703
CMPDBFB446F,2026-09-16T22:14:45.920638,Loan Fraud,124576.36,VICC9BCE573,A05,SBI,open,SCN82CE9E1A
CMPF8CD1EBC,2026-09-17T06:17:56.657611,Loan Fraud,44169.65,VIC8268C4A9,B01,Kotak,open,SCN9D57ED09
CMP32306FC1,2026-09-17T06:41:37.873900,KYC Fraud,52343.06,VICD99A1126,A04,Kotak,open,SCN24EC537A
CMP90D70B40,2026-09-17T05:53:36.213369,Loan Fraud,56978.98,VIC5D74B6F1,A05,ICICI,open,SCNA7D81162
CMP99FBA134,2026-09-17T18:58:06.678151,UPI Fraud,27758.01,VIC2671C087,P03,Axis,open,SCNDF0A6602
CMP0787D884,2026-09-17T19:32:06.678151,UPI Fraud,27758.01,VIC930D0633,P03,Union,open,SCNDF0A6602
CMP3C0F3758,2026-09-17T19:50:06.678151,KYC Fraud,27758.01,VIC9E2FA6FE,P04,HDFC,open,SCNDF0A6602
CMPB3D57449,2026-09-17T20:29:06.678151,Investment Scam,27758.01,VICADB21EEC,P01,Kotak,open,SCNDF0A6602
CMP7327A917,2026-09-17T19:38:38.830072,Loan Fraud,38605.15,VIC439C62E4,P02,Union,open,SCN0E606D5D
CMP6D9C3CFD,2026-09-17T23:21:04.056270,Lottery Fraud,59855.94,VICBEDC6DF9,A01,Canara,open,SCND1BC99B0
CMP2C27D7F0,2026-09-18T07:10:24.728843,Investment Scam,37097.54,VIC3CD8122D,A01,Union,open,SCN54D31427
CMP64F6AA3C,2026-09-17T17:35:19.794482,Lottery Fraud,111963.85,VIC54166067,A01,Canara,open,SCN4B0292E8
CMPF9E40335,2026-09-18T04:43:35.762201,OTP Fraud,63710.49,VIC9814136A,B02,Canara,open,SCN9C96A75D
